iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,8.95e+14,19.5,14.4,2.04e+21,0,3.54e+15,2.21e+16,1.74e+12,5.55e+15,29.1,7.84,3.9e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6414846e-310,4.6414846e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,4345008.5,2.7529556e+14,1.9417481e+14,1.8813103e+21,0,4.0553057e+17,3.3034599e+16,4.32e+12,7.2769654e+15,1.8216759e+15,8.9219465e+16,1.9718632e+20,0,6598.4944,0,6598.4944,0,1.35e+21,0.93577772,-1.6996092e-08,0.93577773,0,0,1.8712053e+08,-1.297725e+13,2.0885533e+09,-4.0522076e+09,-3.3025807e+08,-18208404,-8.9151178e+08,910420.22,44575589,8.3144258e+08,8.3144258e+08,7.6739227e+10,4.7962017e+09,168687.36
4000,20,0,10684739,9.8495993e+14,1.0477408e+15,1.7732758e+21,0,1.1654779e+18,5.5334367e+16,4.32e+12,1.1468199e+16,3.3518743e+15,2.6216805e+17,3.0426019e+20,0,41887.258,0,41887.258,0,1.35e+21,3.9383091,-3.3489586e-08,3.9383092,0,0,1.7506546e+08,-8.9155038e+12,3.1537401e+09,-1.1650428e+10,-5.5321365e+08,-33511765,-2.6206648e+09,1675588.3,1.3103324e+08,2.3267659e+09,2.3267659e+09,1.1345324e+11,7.0908275e+09,487757.46
6000,30,0,19233767,2.1947932e+15,2.9081823e+15,1.6984739e+21,0,2.0991642e+18,8.3480436e+16,4.32e+12,1.4419852e+16,4.6239564e+15,4.8561225e+17,3.7787123e+20,0,133679.83,0,133679.83,0,1.35e+21,10.08959,6.6040169e-09,10.08959,0,0,1.6378786e+08,-6.2267959e+12,3.8029312e+09,-2.0986746e+10,-8.3465594e+08,-46233794,-4.8549234e+09,2311689.7,2.4274617e+08,4.1752483e+09,4.1752483e+09,1.3512691e+11,8.445432e+09,1009322.4
8000,40,0,29653556,3.9589055e+15,5.9648864e+15,1.6458376e+21,0,3.095373e+18,1.1376398e+17,4.32e+12,1.6549629e+16,5.6699178e+15,7.3550806e+17,4.2922468e+20,0,309889.55,0,309889.55,0,1.35e+21,20.568446,-4.2410381e-08,20.568446,0,0,1.5323758e+08,-4.4181395e+12,4.1899835e+09,-3.0948717e+10,-1.1374872e+09,-56694464,-7.3537934e+09,2834723.2,3.6768967e+08,6.1586511e+09,6.1586511e+09,1.4734956e+11,9.2093474e+09,1758552.3
10000,50,0,41601196,6.3207345e+15,1.0310096e+16,1.6082203e+21,0,4.0876059e+18,1.4397548e+17,4.32e+12,1.8119144e+16,6.5182186e+15,9.9641421e+17,4.6555107e+20,0,597332.27,0,597332.27,0,1.35e+21,36.621351,1.2186856e-07,36.621351,0,0,1.4336773e+08,-3.1826658e+12,4.4084233e+09,-4.0871181e+10,-1.4396063e+09,-65178395,-9.9628283e+09,3258919.8,4.9814142e+08,8.1454944e+09,8.1454944e+09,1.5358644e+11,9.5991524e+09,2751083.7
12000,60,0,54755431,9.3139724e+15,1.5973366e+16,1.5809336e+21,0,5.0370479e+18,1.7281989e+17,4.32e+12,1.9295712e+16,7.1941523e+15,1.2583526e+18,4.9158842e+20,0,1021023.3,0,1021023.3,0,1.35e+21,59.536422,-3.4980317e-08,59.536422,0,0,1.3413441e+08,-2.3262405e+12,4.5163986e+09,-5.036588e+10,-1.7280595e+09,-71938535,-1.2582226e+10,3596926.8,6.2911128e+08,1.0058115e+10,1.0058115e+10,1.5601732e+11,9.7510825e+09,3994769.3
14000,70,0,68827584,1.2963506e+16,2.2943614e+16,1.560856e+21,0,5.9221489e+18,1.9956793e+17,4.32e+12,2.0188702e+16,7.7201769e+15,1.5148751e+18,5.1048685e+20,0,1603844.1,0,1603844.1,0,1.35e+21,90.620843,0,90.620843,0,9.765625e-08,1.2549658e+08,-1.7241449e+12,4.5508898e+09,-5.9217246e+10,-1.9955515e+09,-77199480,-1.514749e+10,3859974,7.573745e+08,1.1852521e+10,1.1852521e+10,1.5603139e+11,9.7519619e+09,5491288.5
16000,80,0,83564737,1.7286376e+16,3.1183482e+16,1.5458795e+21,0,6.7321619e+18,2.2384416e+17,4.32e+12,2.0871256e+16,8.1162138e+15,1.7618523e+18,5.243697e+20,0,2366416.6,0,2366416.6,0,1.35e+21,131.18182,4.4021363e-08,131.18182,0,0,1.1741582e+08,-1.2950753e+12,4.5359512e+09,-6.7317765e+10,-2.2383267e+09,-81160452,-1.7617317e+10,4058022.6,8.8086584e+08,1.3505891e+10,1.3505891e+10,1.5452424e+11,9.6577651e+09,7237535.1
18000,90,0,98749082,2.2292737e+16,4.063884e+16,1.5345607e+21,0,7.4630855e+18,2.4549586e+17,4.32e+12,2.1393493e+16,8.3999147e+15,1.9967008e+18,5.3468694e+20,0,3327095.3,0,3327095.3,0,1.35e+21,182.51093,2.9163829e-08,182.51093,0,0,1.0985622e+08,-9.8528665e+11,4.4875794e+09,-7.4627399e+10,-2.4548569e+09,-83997982,-1.9965867e+10,4199899.1,9.9829336e+08,1.5008721e+10,1.5008721e+10,1.5207891e+11,9.5049321e+09,9226777.1
20000,100,0,1.1419548e+08,2.7986782e+16,5.1245167e+16,1.5258987e+21,0,8.1150902e+18,2.6451043e+17,4.32e+12,2.1790633e+16,8.586903e+15,2.2178831e+18,5.4244086e+20,0,4502026.6,0,4502026.6,0,1.35e+21,245.8717,-3.798084e-08,245.8717,0,0,1.0278416e+08,-7.5877717e+11,4.4166398e+09,-8.1147836e+10,-2.6450157e+09,-85868313,-2.2177761e+10,4293415.6,1.1088881e+09,1.635983e+10,1.635983e+10,1.4907789e+11,9.3173682e+09,11449610
22000,110,0,1.2974831e+08,3.4367615e+16,6.2931899e+16,1.5191908e+21,0,8.6908717e+18,2.8096264e+17,4.32e+12,2.2088089e+16,8.6909894e+15,2.4245771e+18,5.4833242e+20,0,5905245.6,0,5905245.6,0,1.35e+21,322.48992,-3.1454704e-08,322.48992,0,0,96168198,-5.9112325e+11,4.3306599e+09,-8.6906022e+10,-2.8095503e+09,-86909559,-2.4244774e+10,4345478,1.2122387e+09,1.7563157e+10,1.7563157e+10,1.4577341e+11,9.1108379e+09,13894736
24000,120,0,1.4527815e+08,4.1430057e+16,7.5625421e+16,1.5139373e+21,0,9.1945913e+18,2.9498032e+17,4.32e+12,2.2304691e+16,8.724366e+15,2.6164549e+18,5.5285722e+20,0,7548794.1,0,7548794.1,0,1.35e+21,413.54649,2.0337268e-08,413.54649,0,0,89978920,-4.6555421e+11,4.2349474e+09,-9.1943567e+10,-2.9497389e+09,-87243651,-2.6163626e+10,4362182.6,1.3081813e+09,1.8625695e+10,1.8625695e+10,1.4233214e+11,8.8957588e+09,16549591
26000,130,0,1.6067863e+08,4.9165381e+16,8.9251146e+16,1.5097792e+21,0,9.6311928e+18,3.067219e+17,4.32e+12,2.2454764e+16,8.6977806e+15,2.7935319e+18,5.563693e+20,0,9442849.9,0,9442849.9,0,1.35e+21,520.17237,1.073696e-07,520.17237,0,0,84188806,-3.704202e+11,4.133302e+09,-9.6309904e+10,-3.0671657e+09,-86978073,-2.793447e+10,4348903.6,1.3967235e+09,1.9556139e+10,1.9556139e+10,1.3886402e+11,8.6790012e+09,19400860
28000,140,0,1.758634e+08,5.7561971e+16,1.0373497e+17,1.5064554e+21,0,1.0005962e+19,3.1636155e+17,4.32e+12,2.2549485e+16,8.6206927e+15,2.9560628e+18,5.5912406e+20,0,11595860,0,11595860,0,1.35e+21,643.44536,1.4450325e-07,643.44536,0,0,78772115,-2.9753819e+11,4.0284765e+09,-1.0005789e+11,-3.1635722e+09,-86207424,-2.9559851e+10,4310371.2,1.4779926e+09,2.0364025e+10,2.0364025e+10,1.3544098e+11,8.4650613e+09,22434880
