iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.42e+10,1.65,23.1,2.06e+21,0,1.43e+18,1.31e+15,1.55e+17,3.94e+14,4.76,1.41,1.54e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.649929e-310,4.649929e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,9546608.8,1.1870259e+15,1.768234e+14,1.8946649e+21,0,1.6544901e+18,1.4296474e+16,4.32e+12,7.6381521e+15,1.4207656e+17,8.9832533e+16,1.8041405e+20,0,6008.0884,0,6008.0884,0,1.35e+21,4.0361082,6.2973262e-09,4.0361082,0,0,1.8712053e+08,-1.3518355e+13,2.1922363e+09,-1.6542595e+10,-1.4286227e+08,-1.4208274e+09,-8.9760666e+08,71041371,44880333,3.0567789e+09,3.0567789e+09,7.0208723e+10,4.3880452e+09,370630.41
4000,20,0,16176834,2.7566873e+15,1.0546322e+15,1.7821459e+21,0,2.2713252e+18,3.9470909e+16,4.32e+12,1.1913501e+16,1.3025943e+17,2.7049949e+17,2.9211724e+20,0,42162.056,0,42162.056,0,1.35e+21,11.024212,3.6590887e-08,11.024212,0,0,1.7506546e+08,-9.2835336e+12,3.2762081e+09,-2.2709549e+10,-3.9456501e+08,-1.3026508e+09,-2.7039389e+09,65132538,1.3519695e+08,4.3083254e+09,4.3083254e+09,1.0892398e+11,6.8077489e+09,738471.18
6000,30,0,24944132,4.7771396e+15,2.979769e+15,1.7042739e+21,0,3.0866139e+18,7.0326174e+16,4.32e+12,1.4904832e+16,1.1945437e+17,5.0206422e+17,3.6891712e+20,0,136969.86,0,136969.86,0,1.35e+21,21.962974,-4.6259299e-08,21.962974,0,0,1.6378786e+08,-6.4805813e+12,3.9308423e+09,-3.0861786e+10,-7.0310035e+08,-1.1945954e+09,-5.0194028e+09,59729768,2.5097014e+08,5.9563604e+09,5.9563604e+09,1.3192419e+11,8.2452619e+09,1308982.9
8000,40,0,35522221,7.3051678e+15,6.1416739e+15,1.6495078e+21,0,3.9827587e+18,1.030736e+17,4.32e+12,1.704713e+16,1.0957252e+17,7.5977924e+17,4.2250025e+20,0,319073.67,0,319073.67,0,1.35e+21,37.956501,-5.571664e-09,37.956501,0,0,1.5323758e+08,-4.5953608e+12,4.3159458e+09,-3.9823036e+10,-1.0305717e+09,-1.0957724e+09,-7.5964676e+09,54788620,3.7982338e+08,7.7708761e+09,7.7708761e+09,1.4504068e+11,9.0650425e+09,2106583.3
10000,50,0,47577011,1.0386807e+16,1.0629996e+16,1.6103949e+21,0,4.8889459e+18,1.3547481e+17,4.32e+12,1.8612622e+16,1.0053294e+17,1.0278257e+18,4.6040785e+20,0,615866,0,615866,0,1.35e+21,60.182496,1.0629692e-07,60.182496,0,0,1.4336773e+08,-3.3078399e+12,4.5284933e+09,-4.8884981e+10,-1.3545894e+09,-1.0053726e+09,-1.027691e+10,50268632,5.138455e+08,9.6125438e+09,9.6125438e+09,1.518894e+11,9.4930876e+09,3146263.9
12000,60,0,60794089,1.4058244e+16,1.6470326e+16,1.5820468e+21,0,5.7633669e+18,1.6623392e+17,4.32e+12,1.9775228e+16,9.2261979e+16,1.2960441e+18,4.8758159e+20,0,1052789.3,0,1052789.3,0,1.35e+21,89.865873,-4.4289891e-08,89.865874,0,0,1.3413441e+08,-2.4155591e+12,4.6286402e+09,-5.7629421e+10,-1.6621909e+09,-9.2265934e+08,-1.2959112e+10,46132967,6.4795558e+08,1.1398342e+10,1.1398342e+10,1.5474548e+11,9.6715922e+09,4435329.2
14000,70,0,74890418,1.8346745e+16,2.3647024e+16,1.5612085e+21,0,6.5823402e+18,1.9463554e+17,4.32e+12,2.0648465e+16,8.4692538e+16,1.5579221e+18,5.0730711e+20,0,1653015.5,0,1653015.5,0,1.35e+21,128.25577,0,128.25577,0,9.765625e-08,1.2549658e+08,-1.7884529e+12,4.6545329e+09,-6.581947e+10,-1.9462199e+09,-8.4696157e+08,-1.5577935e+10,42348079,7.7889675e+08,1.3080532e+10,1.3080532e+10,1.5505937e+11,9.6912109e+09,5975001.2
16000,80,0,89617946,2.3271606e+16,3.2118032e+16,1.5456822e+21,0,7.333561e+18,2.2032527e+17,4.32e+12,2.1308105e+16,7.7763512e+16,1.8093352e+18,5.2179918e+20,0,2437337.6,0,2437337.6,0,1.35e+21,176.60609,-1.4371437e-08,176.60609,0,0,1.1741582e+08,-1.3417337e+12,4.6308956e+09,-7.3332034e+10,-2.2031314e+09,-7.7766826e+08,-1.8092126e+10,38883413,9.046063e+08,1.4633609e+10,1.4633609e+10,1.5376666e+11,9.6104163e+09,7761803.1
18000,90,0,1.0476317e+08,2.8845108e+16,4.1824653e+16,1.5339633e+21,0,8.01186e+18,2.4317429e+17,4.32e+12,2.1805939e+16,7.1419239e+16,2.047745e+18,5.3257023e+20,0,3424179,0,3424179,0,1.35e+21,236.15946,-4.4076472e-08,236.15946,0,0,1.0985622e+08,-1.0193549e+12,4.5740991e+09,-8.0115393e+10,-2.4316358e+09,-7.1422274e+08,-2.0476293e+10,35711137,1.0238146e+09,1.6046094e+10,1.6046094e+10,1.5147681e+11,9.4673005e+09,9788712.8
