iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,23100000,33.1,28.8,1.18e+21,0,1.89e+10,3.27e+16,2.07e+14,1.75e+17,3.55,4.64,9.04e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6665252e-310,4.6665252e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,23172009,1.7940214e+15,2.171078e+15,1.2756929e+21,0,2.7648899e+18,1.3785642e+17,4.32e+12,3.1660144e+16,2.0074118e+15,7.3561783e+17,8.0484096e+20,0,73800.493,0,73800.493,0,1.35e+21,6.0999526,8.6695005e-08,6.0999525,0,0,1.8712053e+08,7.7822623e+12,9.09015e+09,-2.7636692e+10,-1.3781786e+09,-20065856,-7.3533799e+09,1003292.8,3.6766899e+08,5.6330054e+09,5.6330054e+09,3.1333912e+11,1.9583695e+10,899612.76
4000,20,0,38191101,4.2093146e+15,7.1853306e+15,1.3401121e+21,0,4.9434553e+18,2.0712438e+17,4.32e+12,3.0119675e+16,3.5199347e+15,1.2520947e+18,7.3765186e+20,0,287314.65,0,287314.65,0,1.35e+21,16.833349,-2.9856519e-08,16.83335,0,0,1.7506546e+08,5.2793317e+12,8.2842943e+09,-4.9424849e+10,-2.0709332e+09,-35192454,-1.2518561e+10,1759622.7,6.2592804e+08,9.9468895e+09,9.9468895e+09,2.7510744e+11,1.7194215e+10,1743420.7
6000,30,0,54187753,7.2927584e+15,1.4600341e+16,1.3840932e+21,0,6.6874612e+18,2.6326932e+17,4.32e+12,2.91763e+16,4.7760235e+15,1.696366e+18,6.9141724e+20,0,671216.69,0,671216.69,0,1.35e+21,33.528638,4.6314099e-08,33.528638,0,0,1.6378786e+08,3.6298822e+12,7.695393e+09,-6.6866791e+10,-2.6324401e+09,-47754541,-1.696159e+10,2387727.1,8.480795e+08,1.3430757e+10,1.3430757e+10,2.4727792e+11,1.545487e+10,2843588.3
8000,40,0,70822422,1.1077297e+16,2.4097671e+16,1.4145115e+21,0,8.0997039e+18,3.0915327e+17,4.32e+12,2.8586148e+16,5.8075138e+15,2.0841147e+18,6.5914091e+20,0,1252045.4,0,1252045.4,0,1.35e+21,57.556151,1.3276754e-08,57.556151,0,0,1.5323758e+08,2.526768e+12,7.2378083e+09,-8.0990677e+10,-3.0913254e+09,-58070493,-2.083933e+10,2903524.7,1.0419665e+09,1.6279193e+10,1.6279193e+10,2.2629398e+11,1.4143374e+10,4200000
10000,50,0,87835662,1.5583871e+16,3.5423213e+16,1.4358004e+21,0,9.2519077e+18,3.4674048e+17,4.32e+12,2.8201552e+16,6.6427208e+15,2.4258987e+18,6.3630565e+20,0,2052447.2,0,2052447.2,0,1.35e+21,90.295498,1.4433625e-07,90.295498,0,0,1.4336773e+08,1.7788652e+12,6.8617872e+09,-9.2513873e+10,-3.467235e+09,-66423479,-2.425738e+10,3321173.9,1.212869e+09,1.862755e+10,1.862755e+10,2.0992885e+11,1.3120553e+10,5808565.3
12000,60,0,1.0502302e+08,2.082358e+16,4.8366746e+16,1.4508622e+21,0,1.0195642e+19,3.7744333e+17,4.32e+12,2.7932548e+16,7.3068068e+15,2.7290645e+18,6.1994906e+20,0,3091793.9,0,3091793.9,0,1.35e+21,133.11349,-1.9686723e-08,133.11349,0,0,1.3413441e+08,1.2653202e+12,6.5381562e+09,-1.0195215e+11,-3.7742951e+09,-73065137,-2.7289216e+10,3653256.8,1.3644608e+09,2.0572913e+10,2.0572913e+10,1.9676224e+11,1.229764e+10,7662120.9
14000,70,0,1.2222024e+08,2.6799513e+16,6.274903e+16,1.4616242e+21,0,1.0969086e+19,4.0232502e+17,4.32e+12,2.7724264e+16,7.8221115e+15,2.9989137e+18,6.0809945e+20,0,4386592.8,0,4386592.8,0,1.35e+21,187.34749,0,187.34749,0,9.765625e-08,1.2549658e+08,9.0854303e+11,6.2496804e+09,-1.0968737e+11,-4.0231389e+09,-78218876,-2.9987864e+10,3910943.8,1.4993932e+09,2.2187064e+10,2.2187064e+10,1.8587136e+11,1.161696e+10,9751128.6
16000,80,0,1.3929418e+08,3.3508289e+16,7.8413537e+16,1.4693837e+21,0,1.1601301e+19,4.2222031e+17,4.32e+12,2.7543411e+16,8.2084488e+15,3.239424e+18,5.9942595e+20,0,5950785.5,0,5950785.5,0,1.35e+21,254.29317,-4.8137707e-08,254.29317,0,0,1.1741582e+08,6.5799715e+11,5.9861153e+09,-1.1601016e+11,-4.2221149e+09,-82082848,-3.2393105e+10,4104142.4,1.6196553e+09,2.352463e+10,2.352463e+10,1.7664534e+11,1.1040334e+10,12064257
18000,90,0,1.5613675e+08,4.094133e+16,9.5221052e+16,1.4750248e+21,0,1.2114983e+19,4.3780868e+17,4.32e+12,2.7370106e+16,8.4833735e+15,3.4537008e+18,5.9301816e+20,0,7795985.8,0,7795985.8,0,1.35e+21,335.19553,2.3936991e-08,335.19553,0,0,1.0985622e+08,4.8031549e+11,5.7413355e+09,-1.2114753e+11,-4.3780186e+09,-84832612,-3.4535997e+10,4241630.6,1.7267999e+09,2.4628321e+10,2.4628321e+10,1.6867202e+11,1.0542001e+10,14588885
20000,100,0,1.726608e+08,4.9085933e+16,1.1304609e+17,1.479157e+21,0,1.2528266e+19,4.4965945e+17,4.32e+12,2.7192852e+16,8.662421e+15,3.6442626e+18,5.8824534e+20,0,9931682.5,0,9931682.5,0,1.35e+21,431.24284,2.253671e-08,431.24284,0,0,1.0278416e+08,3.5318129e+11,5.5116519e+09,-1.2528082e+11,-4.4965437e+09,-86623531,-3.6441728e+10,4331176.6,1.8220864e+09,2.5532345e+10,2.5532345e+10,1.6166781e+11,1.0104238e+10,17311533
22000,110,0,1.8879688e+08,5.7926166e+16,1.3177446e+17,1.4822055e+21,0,1.2855933e+19,4.5826022e+17,4.32e+12,2.7005412e+16,8.7593227e+15,3.8132242e+18,5.8466515e+20,0,12365422,0,12365422,0,1.35e+21,543.56263,-7.5689286e-09,543.56263,0,0,96168198,2.6148543e+11,5.2948152e+09,-1.2855788e+11,-4.5825666e+09,-87592927,-3.8131448e+10,4379646.3,1.9065724e+09,2.6264685e+10,2.6264685e+10,1.5543355e+11,9.7145971e+09,20218243
24000,120,0,2.0449082e+08,6.7443623e+16,1.5130161e+17,1.4844696e+21,0,1.311024e+19,4.6403524e+17,4.32e+12,2.6804848e+16,8.7861987e+15,3.962415e+18,5.8196381e+20,0,15102978,0,15102978,0,1.35e+21,673.21964,1.6847252e-08,673.21964,0,0,89978920,1.9488009e+11,5.0894237e+09,-1.3110129e+11,-4.64033e+09,-87862009,-3.962345e+10,4393100.5,1.9811725e+09,2.684865e+10,2.684865e+10,1.4982642e+11,9.3641513e+09,23294896
26000,130,0,2.1970156e+08,7.7618057e+16,1.7153135e+17,1.4861623e+21,0,1.3301494e+19,4.6735767e+17,4.32e+12,2.6590273e+16,8.7537317e+15,4.0934554e+18,5.799162e+20,0,18148511,0,18148511,0,1.35e+21,821.21507,0,821.21507,0,9.765625e-08,84188806,1.4620081e+11,4.8945684e+09,-1.3301413e+11,-4.6735656e+09,-87537611,-4.0933942e+10,4376880.6,2.0466971e+09,2.7303949e+10,2.7303949e+10,1.4474171e+11,9.0463567e+09,26527481
