iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.4e+12,7.12,11.5,1.31e+21,0,3.47e+10,1.33e+10,3.01e+17,1.13e+16,3.17,81.7,7.67e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6586658e-310,4.6586658e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,20378949,2.9916781e+15,1.3151597e+15,1.3659128e+21,0,2.390694e+18,7.7053284e+16,4.32e+12,2.7816147e+16,2.741891e+17,5.2549485e+17,7.0810189e+20,0,44698.813,0,44698.813,0,1.35e+21,10.17266,8.5038339e-08,10.17266,0,0,1.8712053e+08,4.5361069e+12,7.9863532e+09,-2.389618e+10,-7.7017203e+08,-2.7420189e+09,-5.2524295e+09,1.3710094e+08,2.6262148e+08,4.9527525e+09,4.9527525e+09,2.7567235e+11,1.7229522e+10,791177.08
4000,20,0,34024547,6.4386629e+15,5.1587306e+15,1.4033672e+21,0,4.3432463e+18,1.4311461e+17,4.32e+12,2.7168076e+16,2.497995e+17,9.9799976e+17,6.6817595e+20,0,206268.49,0,206268.49,0,1.35e+21,25.74967,-2.8325985e-08,25.74967,0,0,1.7506546e+08,3.0600017e+12,7.4723849e+09,-4.3423615e+10,-1.430844e+09,-2.4981112e+09,-9.9777797e+09,1.2490556e+08,4.9888899e+08,8.8104677e+09,8.8104677e+09,2.4919317e+11,1.5574573e+10,1553217.8
6000,30,0,48832559,1.0403183e+16,1.123155e+16,1.4287783e+21,0,5.9568722e+18,1.9861958e+17,4.32e+12,2.6830231e+16,2.2761843e+17,1.416488e+18,6.406914e+20,0,516331.44,0,516331.44,0,1.35e+21,47.830393,0,47.830393,0,9.765625e-08,1.6378786e+08,2.0890836e+12,7.0765475e+09,-5.9561376e+10,-1.9859413e+09,-2.27629e+09,-1.4162905e+10,1.138145e+08,7.0814526e+08,1.2024768e+10,1.2024768e+10,2.2913409e+11,1.4320881e+10,2562566
8000,40,0,64465007,1.4932965e+16,1.9289887e+16,1.4462148e+21,0,7.3008427e+18,2.4544211e+17,4.32e+12,2.6662198e+16,2.0744316e+17,1.7905319e+18,6.2149942e+20,0,1002230.8,0,1002230.8,0,1.35e+21,77.591661,8.8005692e-09,77.591661,0,0,1.5323758e+08,1.4413741e+12,6.7506369e+09,-7.3002291e+10,-2.4542063e+09,-2.0745277e+09,-1.7903548e+10,1.0372639e+08,8.9517739e+08,1.4725522e+10,1.4725522e+10,2.1336942e+11,1.3335589e+10,3822984.6
10000,50,0,80650616,2.0062874e+16,2.9129568e+16,1.4582985e+21,0,8.4252171e+18,2.8492929e+17,4.32e+12,2.65803e+16,1.8908974e+17,2.1267155e+18,6.0792057e+20,0,1687769.5,0,1687769.5,0,1.35e+21,116.24998,9.4085493e-08,116.24998,0,0,1.4336773e+08,1.0036516e+12,6.4672873e+09,-8.4247031e+10,-2.849112e+09,-1.8909849e+09,-2.126556e+10,94549245,1.063278e+09,1.7006216e+10,1.7006216e+10,2.0056295e+11,1.2535184e+10,5333418.8
12000,60,0,97167724,2.5816978e+16,4.0574073e+16,1.4667445e+21,0,9.367387e+18,3.1810208e+17,4.32e+12,2.653479e+16,1.7239128e+17,2.4297589e+18,5.9819709e+20,0,2593632.8,0,2593632.8,0,1.35e+21,165.0363,0,165.0363,0,9.765625e-08,1.3413441e+08,7.0433665e+11,6.2109624e+09,-9.3669564e+10,-3.1808693e+09,-1.7239925e+09,-2.4296151e+10,86199623,1.2148075e+09,1.8936487e+10,1.8936487e+10,1.8985769e+11,1.1866105e+10,7089025.4
14000,70,0,1.1383354e+08,3.2210342e+16,5.3467052e+16,1.4726905e+21,0,1.0156153e+19,3.4577211e+17,4.32e+12,2.6496458e+16,1.5719635e+17,2.7032011e+18,5.9115853e+20,0,3737692,0,3737692,0,1.35e+21,225.17617,0,225.17617,0,9.765625e-08,1.2549658e+08,4.9748658e+11,5.9728891e+09,-1.0155793e+11,-3.4575953e+09,-1.572036e+09,-2.7030713e+10,78601798,1.3515357e+09,2.0569901e+10,2.0569901e+10,1.8069263e+11,1.1293289e+10,9082010.3
16000,80,0,1.3049697e+08,3.9250542e+16,6.7667557e+16,1.4769008e+21,0,1.0814319e+19,3.6861076e+17,4.32e+12,2.6448637e+16,1.4336751e+17,2.9498191e+18,5.8601442e+20,0,5135245.9,0,5135245.9,0,1.35e+21,297.8744,6.7547603e-09,297.8744,0,0,1.1741582e+08,3.531887e+11,5.7481718e+09,-1.0814019e+11,-3.6860045e+09,-1.4337411e+09,-2.9497021e+10,71687053,1.4748511e+09,2.1948875e+10,2.1948875e+10,1.7269267e+11,1.0793292e+10,11302332
18000,90,0,1.4703346e+08,4.6938978e+16,8.3046939e+16,1.4798956e+21,0,1.1360373e+19,3.8719066e+17,4.32e+12,2.6382369e+16,1.3078005e+17,3.171889e+18,5.8222362e+20,0,6799227.6,0,6799227.6,0,1.35e+21,384.30334,3.0159811e-08,384.30334,0,0,1.0985622e+08,2.5170266e+11,5.5341318e+09,-1.1360126e+11,-3.8718235e+09,-1.3078605e+09,-3.1717837e+10,65393024,1.5858919e+09,2.3107865e+10,2.3107865e+10,1.6560143e+11,1.0350089e+10,13738305
