iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,8.7e+12,3.04,9.24,1.59e+21,0,9.26e+19,4.83e+17,7.58e+18,8.92e+16,1.7,10.7,3.9e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6830411e-310,4.6830411e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,3.8500445e+08,5.1040182e+16,4.2949287e+15,1.5435374e+21,0,8.6647525e+19,6.7636618e+17,4.32e+12,8.4494929e+16,6.8608135e+18,1.6313776e+18,4.412608e+20,0,145978.41,0,145978.41,0,1.35e+21,173.56035,1.2104485e-07,173.56035,0,0,1.8712053e+08,-3.7421859e+12,2.4259487e+10,-8.6650353e+11,-6.762787e+09,-6.8611557e+10,-1.6306141e+10,3.4305778e+09,8.1530707e+08,1.5652246e+11,1.5652246e+11,1.7177399e+11,1.0735874e+10,14947125
4000,20,0,4.2961635e+08,1.0071353e+17,1.6270974e+16,1.5128928e+21,0,8.125234e+19,8.3445303e+17,4.32e+12,8.1911614e+16,6.2096088e+18,3.0597919e+18,4.7630804e+20,0,650590.19,0,650590.19,0,1.35e+21,402.79381,1.3761905e-08,402.79381,0,0,1.7506546e+08,-2.4768217e+12,2.2529384e+10,-8.1254915e+11,-8.343821e+09,-6.2099185e+10,-3.0591258e+10,3.1049592e+09,1.5295629e+09,1.483574e+11,1.483574e+11,1.7762714e+11,1.1101696e+10,19611952
6000,30,0,4.691691e+08,1.4909914e+17,3.4956102e+16,1.4925747e+21,0,7.6321954e+19,9.6134022e+17,4.32e+12,7.9125245e+16,5.6202635e+18,4.3008873e+18,5.0071527e+20,0,1606993.8,0,1606993.8,0,1.35e+21,685.53839,1.109288e-08,685.53839,0,0,1.6378786e+08,-1.6440804e+12,2.0869785e+10,-7.6324315e+11,-9.6128394e+09,-5.6205437e+10,-4.3003111e+10,2.8102718e+09,2.1501555e+09,1.4081033e+11,1.4081033e+11,1.7906681e+11,1.1191675e+10,24620393
8000,40,0,5.0410134e+08,1.9628402e+17,5.9449623e+16,1.4790975e+21,0,7.1789768e+19,1.060823e+18,4.32e+12,7.6261475e+16,5.086898e+18,5.36994e+18,5.180223e+20,0,3088795.9,0,3088795.9,0,1.35e+21,1019.9351,1.1879251e-08,1019.9351,0,0,1.5323758e+08,-1.0883879e+12,1.9309066e+10,-7.1791944e+11,-1.0607795e+10,-5.0871516e+10,-5.3694459e+10,2.5435758e+09,2.6847229e+09,1.337834e+11,1.337834e+11,1.7783948e+11,1.1114968e+10,29894849
10000,50,0,5.3480716e+08,2.4234526e+17,8.8927325e+16,1.4702124e+21,0,6.7605869e+19,1.1365148e+18,4.32e+12,7.3396561e+16,4.604192e+18,6.2826464e+18,5.305144e+20,0,5152481.2,0,5152481.2,0,1.35e+21,1404.2757,1.383919e-07,1404.2757,0,0,1.4336773e+08,-7.1291375e+11,1.785854e+10,-6.7607881e+11,-1.1364823e+10,-4.6044215e+10,-6.2822266e+10,2.3022108e+09,3.1411133e+09,1.2720773e+11,1.2720773e+11,1.7502199e+11,1.0938874e+10,35366755
12000,60,0,5.6164739e+08,2.8735131e+17,1.226417e+17,1.4644466e+21,0,6.3731424e+19,1.1917432e+18,4.32e+12,7.0576923e+16,4.167331e+18,7.0543488e+18,5.3969007e+20,0,7839714.6,0,7839714.6,0,1.35e+21,1836.9811,0,1836.9811,0,9.765625e-08,1.3413441e+08,-4.5640944e+11,1.6520159e+10,-6.373329e+11,-1.1917202e+10,-4.1675388e+10,-7.0539957e+10,2.0837694e+09,3.5269978e+09,1.2103297e+11,1.2103297e+11,1.7128612e+11,1.0705382e+10,40975877
14000,70,0,5.8495592e+08,3.3136308e+17,1.5991922e+17,1.4608214e+21,0,6.0135199e+19,1.2295107e+18,4.32e+12,6.7830651e+16,3.7719583e+18,7.6996216e+18,5.4654663e+20,0,11179446,0,11179446,0,1.35e+21,2316.5835,0,2316.5835,0,9.765625e-08,1.2549658e+08,-2.7953609e+11,1.5290826e+10,-6.0136932e+11,-1.2294957e+10,-3.7721463e+10,-7.6993283e+10,1.8860731e+09,3.8496641e+09,1.1522083e+11,1.1522083e+11,1.6705487e+11,1.0440929e+10,46669686
16000,80,0,6.0504333e+08,3.7443497e+17,2.0015617e+17,1.4586776e+21,0,5.6791327e+19,1.2524904e+18,4.32e+12,6.517441e+16,3.4141312e+18,8.2320684e+18,5.5175723e+20,0,15189805,0,15189805,0,1.35e+21,2841.7113,0,2841.7113,0,9.765625e-08,1.1741582e+08,-1.5665759e+11,1.4164843e+10,-5.679294e+11,-1.2524822e+10,-3.4143014e+10,-8.2318282e+10,1.7071507e+09,4.1159141e+09,1.0974104e+11,1.0974104e+11,1.6259613e+11,1.0162258e+10,52402754
18000,90,0,6.221992e+08,4.1661577e+17,2.4281363e+17,1.4575658e+21,0,5.3677868e+19,1.2630405e+18,4.32e+12,6.2617632e+16,3.0902821e+18,8.6642399e+18,5.5578245e+20,0,19879781,0,19879781,0,1.35e+21,3411.0772,1.4603756e-08,3411.0772,0,0,1.0985622e+08,-7.0836041e+10,1.3135312e+10,-5.3679371e+11,-1.2630379e+10,-3.0904361e+10,-8.664047e+10,1.545218e+09,4.3320235e+09,1.0456885e+11,1.0456885e+11,1.5807984e+11,9.8799899e+09,58136170
