iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.33e+08,11.4,3.67,1.05e+21,0,4.91e+16,2.43e+19,5.01e+13,1.64e+18,1.62,68.1,1e+21,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6439539e-310,4.6439539e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.2181597e+08,5.6069028e+15,9.2374796e+15,1.1769399e+21,0,3.4578459e+18,2.2284819e+19,4.32e+12,5.176957e+16,1.8654361e+15,2.317675e+18,8.7092233e+20,0,314074.42,0,314074.42,0,1.35e+21,19.06505,-2.8645694e-08,19.06505,0,0,1.8712053e+08,1.0351882e+13,1.4864005e+10,-3.4563509e+10,-2.2285859e+11,-18646028,-2.3172731e+10,932301.41,1.1586366e+09,4.5964938e+10,4.5964938e+10,3.3906923e+11,2.1191827e+10,4729292.4
4000,20,0,1.4676981e+08,1.2255918e+16,2.2760849e+16,1.262878e+21,0,6.1084354e+18,2.029772e+19,4.32e+12,4.842283e+16,3.3914704e+15,3.0483335e+18,7.8357353e+20,0,910213.21,0,910213.21,0,1.35e+21,49.013945,-1.8129143e-08,49.013945,0,0,1.7506546e+08,7.0681939e+12,1.331863e+10,-6.1072634e+10,-2.0298669e+11,-33907746,-3.0480017e+10,1695387.3,1.5240008e+09,4.7788907e+10,4.7788907e+10,2.9223638e+11,1.8264774e+10,6700029.9
6000,30,0,1.7080275e+08,1.9913327e+16,3.9628735e+16,1.3219836e+21,0,8.1993304e+18,1.8486825e+19,4.32e+12,4.5957936e+16,4.6597849e+15,3.6549399e+18,7.235597e+20,0,1821947.6,0,1821947.6,0,1.35e+21,91.554806,1.3901044e-08,91.554806,0,0,1.6378786e+08,4.9007401e+12,1.2121762e+10,-8.1984004e+10,-1.8487689e+11,-46592096,-3.6546631e+10,2329604.8,1.8273315e+09,4.8842708e+10,4.8842708e+10,2.5877504e+11,1.617344e+10,8963145.3
8000,40,0,1.9377786e+08,2.85437e+16,5.9287035e+16,1.3632502e+21,0,9.8653067e+18,1.6838051e+19,4.32e+12,4.4049627e+16,5.7023377e+15,4.1626837e+18,6.8174238e+20,0,3080508,0,3080508,0,1.35e+21,148.31332,1.9270516e-08,148.31332,0,0,1.5323758e+08,3.4480877e+12,1.1153175e+10,-9.8645629e+10,-1.6838837e+11,-57018679,-4.1624513e+10,2850934,2.0812257e+09,4.9355526e+10,4.9355526e+10,2.3405464e+11,1.4628415e+10,11491658
10000,50,0,2.1562844e+08,3.8107127e+16,8.1287549e+16,1.3924793e+21,0,1.1200385e+19,1.5337764e+19,4.32e+12,4.2498657e+16,6.5475548e+15,4.5894878e+18,6.5222223e+20,0,4710002.2,0,4710002.2,0,1.35e+21,220.80442,1.2780478e-07,220.80442,0,0,1.4336773e+08,2.4604205e+12,1.0340565e+10,-1.1199788e+11,-1.5338479e+11,-65471771,-4.5892923e+10,3273588.6,2.2946461e+09,4.9481102e+10,4.9481102e+10,2.1518086e+11,1.3448804e+10,14259491
12000,60,0,2.3632866e+08,4.8560764e+16,1.0525864e+17,1.4134716e+21,0,1.2272121e+19,1.3973085e+19,4.32e+12,4.1181494e+16,7.2206987e+15,4.9485692e+18,6.3113141e+20,0,6728707.4,0,6728707.4,0,1.35e+21,310.42878,-1.3236672e-08,310.42878,0,0,1.3413441e+08,1.7797529e+12,9.6394335e+09,-1.2271642e+11,-1.3973735e+11,-72204013,-4.9484048e+10,3610200.6,2.4742024e+09,4.9324985e+10,4.9324985e+10,2.0031194e+11,1.2519496e+10,17241732
14000,70,0,2.5587742e+08,5.9860099e+16,1.3088604e+17,1.4287529e+21,0,1.3130462e+19,1.2732024e+19,4.32e+12,4.0020762e+16,7.7441998e+15,5.2500181e+18,6.1589646e+20,0,9150018.1,0,9150018.1,0,1.35e+21,418.4729,0,418.4729,0,9.765625e-08,1.2549658e+08,1.3046379e+12,9.0216841e+09,-1.3130079e+11,-1.2732616e+11,-77439721,-5.2498804e+10,3871986,2.6249402e+09,4.8961325e+10,4.8961325e+10,1.8825501e+11,1.1765938e+10,20414733
16000,80,0,2.7428924e+08,7.1959924e+16,1.578999e+17,1.4400248e+21,0,1.381335e+19,1.1603517e+19,4.32e+12,3.8967593e+16,8.1379541e+15,5.5017885e+18,6.0478112e+20,0,11983182,0,11983182,0,1.35e+21,546.11147,3.3590823e-08,546.11147,0,0,1.1741582e+08,9.6898522e+11,8.4690597e+09,-1.3813047e+11,-1.1604055e+11,-81377866,-5.5016739e+10,4068893.3,2.750837e+09,4.8443395e+10,4.8443395e+10,1.7822376e+11,1.1138985e+10,23756169
18000,90,0,2.91589e+08,8.4815092e+16,1.8606592e+17,1.4484489e+21,0,1.4350332e+19,1.0577409e+19,4.32e+12,3.7990934e+16,8.4195905e+15,5.710333e+18,5.9659839e+20,0,15233896,0,15233896,0,1.35e+21,694.41149,2.5131612e-08,694.41149,0,0,1.0985622e+08,7.2914434e+11,7.969305e+09,-1.4350096e+11,-1.0577898e+11,-84194750,-5.7102386e+10,4209737.5,2.8551193e+09,4.7810315e+10,4.7810315e+10,1.6969056e+11,1.060566e+10,27245081
