iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,6.15e+12,3.44,1.18,2e+21,0,1.5e+16,6.11e+10,6.61e+12,6.57e+17,4.7,2.39,8.19e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.666013e-310,4.666013e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,6763993.5,4.0438954e+14,2.8444265e+15,1.8537142e+21,0,5.3921255e+17,9.4476543e+16,4.32e+12,8.7630217e+15,1.8260828e+15,6.3380401e+17,2.2757843e+20,0,96717.528,13745.988,110463.52,0,1.35e+21,1.3747362,2.5931641e-09,1.3747362,0,0,1.8712053e+08,-1.1964515e+13,2.5152624e+09,-5.3885495e+09,-9.446869e+08,-18252475,-6.3374809e+09,912623.77,3.1687404e+08,1.6804449e+09,1.6804449e+09,8.8572813e+10,5.5358008e+09,262600.23
4000,20,0,13681368,1.261291e+15,6.355526e+15,1.7540969e+21,0,1.3745608e+18,1.1447923e+17,4.32e+12,1.2659428e+16,3.3558618e+15,7.8018309e+17,3.2618596e+20,0,254166.75,50429.236,304595.99,0,1.35e+21,5.043428,4.309114e-08,5.0434279,0,0,1.7506546e+08,-8.2222329e+12,3.4814096e+09,-1.3740967e+10,-1.1446755e+09,-33551642,-7.8009552e+09,1677582.1,3.9004776e+08,3.2748373e+09,3.2748373e+09,1.2163145e+11,7.6019659e+09,624553.35
6000,30,0,22723687,2.6318877e+15,1.0733549e+16,1.6851002e+21,0,2.3530152e+18,1.3976917e+17,4.32e+12,1.5406452e+16,4.6275644e+15,9.7491136e+17,3.939762e+20,0,493481.41,120980.22,614461.63,0,1.35e+21,12.099232,-2.117398e-08,12.099232,0,0,1.6378786e+08,-5.7446964e+12,4.0631712e+09,-2.352509e+10,-1.3975585e+09,-46269876,-9.7480605e+09,2313493.8,4.8740302e+08,5.1673117e+09,5.1673117e+09,1.4088738e+11,8.8054616e+09,1192461.5
8000,40,0,33554925,4.5679251e+15,1.6161231e+16,1.6365296e+21,0,3.3738937e+18,1.6692998e+17,4.32e+12,1.7389598e+16,5.6731825e+15,1.1955296e+18,4.4126932e+20,0,839717.34,237305.89,1077023.2,0,1.35e+21,23.732963,-2.4534955e-08,23.732963,0,0,1.5323758e+08,-4.0778304e+12,4.4026717e+09,-3.3733838e+10,-1.6691631e+09,-56727113,-1.1954155e+10,2836355.7,5.9770777e+08,7.159544e+09,7.159544e+09,1.5148518e+11,9.4678237e+09,1989916.2
10000,50,0,45838564,7.1103874e+15,2.2730386e+16,1.6018017e+21,0,4.3775324e+18,1.9392979e+17,4.32e+12,1.8850545e+16,6.5211727e+15,1.4275464e+18,4.7472461e+20,0,1317034.3,411927.91,1728962.2,0,1.35e+21,41.19691,1.3218128e-07,41.19691,0,0,1.4336773e+08,-2.9389848e+12,4.5863927e+09,-4.3770414e+10,-1.9391655e+09,-65207938,-1.4274292e+10,3260396.9,7.1371462e+08,9.1328811e+09,9.1328811e+09,1.5661331e+11,9.7883319e+09,3031300.5
12000,60,0,59261151,1.0290472e+16,3.0473843e+16,1.5765976e+21,0,5.329613e+18,2.1958163e+17,4.32e+12,1.9944069e+16,7.1968253e+15,1.6615407e+18,4.9870568e+20,0,1948018.1,657722.93,2605741.1,0,1.35e+21,65.778871,-8.9242889e-09,65.778871,0,0,1.3413441e+08,-2.1493443e+12,4.6681669e+09,-5.3291534e+10,-2.1956927e+09,-71965267,-1.6614244e+10,3598263.3,8.3071218e+08,1.1018018e+10,1.1018018e+10,1.5827648e+11,9.8922799e+09,4323491.2
14000,70,0,73541992,1.413056e+16,3.9385937e+16,1.5580414e+21,0,6.2115799e+18,2.4322144e+17,4.32e+12,2.0771521e+16,7.7225956e+15,1.8913773e+18,5.1611362e+20,0,2753348.9,987697.95,3741046.9,0,1.35e+21,98.779673,0,98.779673,0,9.765625e-08,1.2549658e+08,-1.5940296e+12,4.6822767e+09,-6.2111582e+10,-2.4321019e+09,-77223668,-1.8912642e+10,3861183.4,9.4563209e+08,1.2776463e+10,1.2776463e+10,1.5775144e+11,9.8594653e+09,5867419.3
16000,80,0,88435752,1.8645201e+16,4.9435895e+16,1.5441907e+21,0,7.0147022e+18,2.6451218e+17,4.32e+12,2.1400843e+16,8.1184024e+15,2.1130863e+18,5.2890384e+20,0,3751665.4,1414801.1,5166466.5,0,1.35e+21,141.49425,-4.4163301e-08,141.49425,0,0,1.1741582e+08,-1.1981493e+12,4.6510534e+09,-7.014321e+10,-2.6450215e+09,-81182339,-2.112978e+10,4059117,1.056489e+09,1.4389041e+10,1.4389041e+10,1.5586054e+11,9.7412838e+09,7659413.3
18000,90,0,1.0373156e+08,2.3842079e+16,6.0576724e+16,1.5337155e+21,0,7.7363482e+18,2.8332263e+17,4.32e+12,2.1878722e+16,8.4018951e+15,2.3241484e+18,5.3841157e+20,0,4959541.9,1951766.4,6911308.3,0,1.35e+21,195.19616,1.5079081e-08,195.19616,0,0,1.0985622e+08,-9.1219551e+11,4.5893682e+09,-7.7360077e+10,-2.8331385e+09,-84017787,-2.3240458e+10,4200889.4,1.1620229e+09,1.5848672e+10,1.5848672e+10,1.531384e+11,9.5711502e+09,9692322.6
