iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.84e+12,11.9,8.55,1.69e+21,0,1.07e+17,1.28e+11,1.5e+13,8.9e+12,19.5,72.8,3.93e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6845355e-310,4.6845355e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,12175092,9.0142253e+14,7.0121046e+14,1.6352561e+21,0,1.4668203e+18,4.3159926e+16,4.32e+12,1.7283578e+16,1.8336747e+15,2.9464815e+17,4.460275e+20,0,23831.059,30645.125,54476.183,0,1.35e+21,3.064819,5.2284452e-09,3.0648189,0,0,1.8712053e+08,-4.4945305e+12,4.9619369e+09,-1.466142e+10,-4.3137273e+08,-18328399,-2.9449005e+09,916419.93,1.4724502e+08,2.8472815e+09,2.8472815e+09,1.7362942e+11,1.0851839e+10,472676.66
4000,20,0,22083795,2.3138976e+15,2.9778956e+15,1.5976891e+21,0,2.7993611e+18,8.7878617e+16,4.32e+12,1.9131878e+16,3.3627313e+15,6.1436889e+17,4.8189228e+20,0,119065.37,92521.547,211586.92,0,1.35e+21,9.25308,-3.8125956e-08,9.2530801,0,0,1.7506546e+08,-3.115278e+12,5.2618248e+09,-2.7987107e+10,-8.78567e+08,-33620341,-6.1420829e+09,1681017,3.0710415e+08,5.4938563e+09,5.4938563e+09,1.7970961e+11,1.1231851e+10,1008123.5
6000,30,0,33697632,4.2953569e+15,6.8615946e+15,1.5714235e+21,0,4.0576725e+18,1.303784e+17,4.32e+12,2.0491119e+16,4.6337802e+15,9.3382217e+17,5.065308e+20,0,315430.04,197454.33,512884.37,0,1.35e+21,19.747408,-1.0647735e-08,19.747408,0,0,1.6378786e+08,-2.1992454e+12,5.4044113e+09,-4.0570666e+10,-1.303579e+09,-46332037,-9.3366395e+09,2316601.9,4.6683197e+08,8.0100039e+09,8.0100039e+09,1.811466e+11,1.1321663e+10,1768336.7
8000,40,0,46677590,6.8907232e+15,1.2331234e+16,1.5527241e+21,0,5.2179366e+18,1.6966585e+17,4.32e+12,2.1508679e+16,5.6788069e+15,1.2452571e+18,5.2371065e+20,0,640671.9,357988.18,998660.08,0,1.35e+21,35.802398,-1.5702952e-08,35.802398,0,0,1.5323758e+08,-1.5804031e+12,5.4456876e+09,-5.2173831e+10,-1.6964711e+09,-56783360,-1.2451043e+10,2839168,6.2255215e+08,1.0346195e+10,1.0346195e+10,1.7979239e+11,1.1237025e+10,2768132.9
10000,50,0,60714823,1.0133574e+16,1.933486e+16,1.5391761e+21,0,6.2700883e+18,2.0526443e+17,4.32e+12,2.2278939e+16,6.526262e+15,1.5439106e+18,5.358619e+20,0,1120244,587085.33,1707329.4,0,1.35e+21,58.714404,5.8443064e-08,58.714404,0,0,1.4336773e+08,-1.1553766e+12,5.4206303e+09,-6.2695898e+10,-2.0524759e+09,-65258833,-1.543765e+10,3262941.6,7.7188251e+08,1.248e+10,1.248e+10,1.7678627e+11,1.1049142e+10,4015066.4
12000,60,0,75535781,1.4047571e+16,2.7801632e+16,1.5291929e+21,0,7.2122024e+18,2.3701024e+17,4.32e+12,2.2864093e+16,7.2014304e+15,1.826933e+18,5.4457592e+20,0,1777148.8,897877.65,2675026.5,0,1.35e+21,89.796745,-2.8463958e-08,89.796745,0,0,1.3413441e+08,-8.5874453e+11,5.3517039e+09,-7.2117585e+10,-2.3699534e+09,-72011320,-1.8267957e+10,3600566,9.1339784e+08,1.4405178e+10,1.4405178e+10,1.7283687e+11,1.0802304e+10,5510832.7
14000,70,0,90902626,1.8647765e+16,3.7649575e+16,1.5217162e+21,0,8.0470957e+18,2.6492893e+17,4.32e+12,2.3306405e+16,7.7267628e+15,2.0927221e+18,5.509099e+20,0,2631914.9,1303461.2,3935376.1,0,1.35e+21,130.35916,0,130.35916,0,9.765625e-08,1.2549658e+08,-6.4845748e+11,5.2537333e+09,-8.0467042e+10,-2.6491591e+09,-77265342,-2.0925937e+10,3863267.1,1.0462968e+09,1.6125058e+10,1.6125058e+10,1.6838861e+11,1.0524288e+10,7252507.2
16000,80,0,1.0661138e+08,2.3941793e+16,4.879066e+16,1.5160293e+21,0,8.780252e+18,2.8915986e+17,4.32e+12,2.3635538e+16,8.1221733e+15,2.3405019e+18,5.5557571e+20,0,3702649.8,1816729.8,5519379.6,0,1.35e+21,181.69115,0,181.69115,0,9.765625e-08,1.1741582e+08,-4.9708515e+11,5.1367556e+09,-8.7799098e+10,-2.8914864e+09,-81220050,-2.3403826e+10,4061002.5,1.1701913e+09,1.7648479e+10,1.7648479e+10,1.6372147e+11,1.0232592e+10,9233603.2
18000,90,0,1.2248911e+08,2.9930971e+16,6.113421e+16,1.5116399e+21,0,9.418546e+18,3.0990873e+17,4.32e+12,2.3873015e+16,8.4053076e+15,2.5700506e+18,5.5905877e+20,0,5005137.7,2450242.1,7455379.9,0,1.35e+21,245.04872,-9.9438466e-09,245.04872,0,0,1.0985622e+08,-3.8647902e+11,5.0077257e+09,-9.4182493e+10,-3.0989919e+09,-84051914,-2.5699403e+10,4202595.7,1.2849702e+09,1.8987281e+10,1.8987281e+10,1.5901179e+11,9.938237e+09,11444964
