iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,4.08e+15,46.6,39.9,2.07e+21,0,3.45e+10,1.36e+16,6.04e+18,5.87e+12,5.84,87.3,1.67e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.656803e-310,4.656803e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,16437461,2.9418623e+16,2.6554122e+14,1.9009643e+21,0,3.5201626e+17,2.8238029e+16,4.32e+12,8.550777e+15,5.4672977e+18,1.0902308e+17,1.7077049e+20,0,9024.7191,1000283.1,1009307.8,0,1.35e+21,100.03832,8.9659665e-08,100.03832,0,0,1.8712053e+08,-1.3816394e+13,2.4542544e+09,-3.5172215e+09,-2.822717e+08,-5.4675702e+10,-1.0894304e+09,2.7337851e+09,54471520,5.9436014e+09,5.9436014e+09,6.645385e+10,4.1533656e+09,638155.71
4000,20,0,23601538,5.6585301e+16,1.2820085e+15,1.7860038e+21,0,1.0936387e+18,5.4542054e+16,4.32e+12,1.2833466e+16,4.9487067e+18,3.0535307e+17,2.8525472e+20,0,51254.412,2262874.8,2314129.2,0,1.35e+21,226.31011,-2.4924731e-08,226.31011,0,0,1.7506546e+08,-9.4810281e+12,3.5292366e+09,-1.0932073e+10,-5.4527134e+08,-4.9489533e+10,-3.0524001e+09,2.4744767e+09,1.5262001e+08,6.9426322e+09,6.9426322e+09,1.0636428e+11,6.6477672e+09,1077408.3
6000,30,0,32792747,8.179918e+16,3.4208875e+15,1.7065093e+21,0,2.0274772e+18,8.6302826e+16,4.32e+12,1.5808434e+16,4.4793549e+18,5.509805e+17,3.6397869e+20,0,157249.46,3760686.5,3917936,0,1.35e+21,376.10626,-3.9698364e-08,376.10626,0,0,1.6378786e+08,-6.6121561e+12,4.169172e+09,-2.0269845e+10,-8.6286294e+08,-4.4795781e+10,-5.5084997e+09,2.239789e+09,2.7542499e+08,8.3714669e+09,8.3714669e+09,1.3015778e+11,8.134861e+09,1720851.4
8000,40,0,43699783,1.0533975e+17,6.8629943e+15,1.6506611e+21,0,3.0341968e+18,1.1971603e+17,4.32e+12,1.7920763e+16,4.0545638e+18,8.2096463e+17,4.1891402e+20,0,356551.45,5473196.4,5829747.9,0,1.35e+21,547.37438,-3.6258484e-08,547.37438,0,0,1.5323758e+08,-4.683151e+12,4.537146e+09,-3.0336886e+10,-1.1969933e+09,-4.0547658e+10,-8.2082647e+09,2.0273829e+09,4.1041324e+08,9.9925722e+09,9.9925722e+09,1.438093e+11,8.988081e+09,2591539.3
10000,50,0,56000722,1.2745468e+17,1.168883e+16,1.6108271e+21,0,4.0422726e+18,1.5255269e+17,4.32e+12,1.9448841e+16,3.6700997e+18,1.0994627e+18,4.5778607e+20,0,677215.64,7384726.4,8061942,0,1.35e+21,738.54649,1.4390639e-07,738.54649,0,0,1.4336773e+08,-3.3662118e+12,4.7319593e+09,-4.0417761e+10,-1.5253665e+09,-3.6702826e+10,-1.0993232e+10,1.8351413e+09,5.496616e+08,1.1661457e+10,1.1661457e+10,1.5102431e+11,9.4390192e+09,3703323.2
12000,60,0,69391454,1.4836268e+17,1.7914963e+16,1.5820015e+21,0,5.0097891e+18,1.8353836e+17,4.32e+12,2.0570379e+16,3.3221315e+18,1.3763859e+18,4.856574e+20,0,1145136.2,9483673.1,10628809,0,1.35e+21,948.46215,4.5572506e-08,948.46215,0,0,1.3413441e+08,-2.4539687e+12,4.8147648e+09,-5.00932e+10,-1.8352347e+09,-3.322297e+10,-1.3762491e+10,1.6611485e+09,6.8812453e+08,1.3291453e+10,1.3291453e+10,1.5413468e+11,9.6334175e+09,5062563.6
14000,70,0,83597912,1.682562e+17,2.551721e+16,1.5608517e+21,0,5.9133076e+18,2.1198409e+17,4.32e+12,2.1401239e+16,3.0071921e+18,1.6453432e+18,5.0589414e+20,0,1783754.8,11761831,13545586,0,1.35e+21,1176.3007,0,1176.3007,0,1.953125e-07,1.2549658e+08,-1.813206e+12,4.8242295e+09,-5.9128741e+10,-2.1197057e+09,-3.0073418e+10,-1.6452115e+10,1.5036709e+09,8.2260573e+08,1.4832162e+10,1.4832162e+10,1.5462742e+11,9.664214e+09,6669713.4
16000,80,0,98379979,1.8730399e+17,3.444564e+16,1.5451278e+21,0,6.7409601e+18,2.375629e+17,4.32e+12,2.2018644e+16,2.7221438e+18,1.902355e+18,5.2076548e+20,0,2613979.6,14213801,16827781,0,1.35e+21,1421.5222,3.1436684e-09,1421.5222,0,0,1.1741582e+08,-1.357086e+12,4.7853237e+09,-6.7405662e+10,-2.3755085e+09,-2.7222794e+10,-1.9022299e+10,1.3611397e+09,9.5111494e+08,1.6256083e+10,1.6256083e+10,1.5346199e+11,9.5913745e+09,8520682.1
18000,90,0,1.1353125e+08,2.0565356e+17,4.4634419e+16,1.5332899e+21,0,7.4881136e+18,2.6017226e+17,4.32e+12,2.2475272e+16,2.4641475e+18,2.1450355e+18,5.3182111e+20,0,3654222.3,16836482,20490704,0,1.35e+21,1683.8166,1.7374532e-08,1683.8166,0,0,1.0985622e+08,-1.0282105e+12,4.7145067e+09,-7.4877603e+10,-2.6016169e+09,-2.4642702e+10,-2.144918e+10,1.2321351e+09,1.072459e+09,1.7550196e+10,1.7550196e+10,1.512637e+11,9.4539814e+09,10607972
