iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.23e+12,52.8,28.1,5.29e+20,0,2.57e+10,2.6e+17,1.62e+18,2.46e+18,1.09,11.2,1.55e+21,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6626551e-310,4.6626551e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,46397867,1.097203e+16,1.3214706e+16,8.1541801e+20,0,4.5650441e+18,5.3690106e+17,4.32e+12,5.1511469e+16,1.4677263e+18,3.0888696e+18,1.2581897e+21,0,449320.28,373059.85,822380.13,0,1.35e+21,37.309716,2.8533819e-08,37.309716,0,0,1.8712053e+08,2.3350298e+13,1.4790382e+10,-4.5631272e+10,-5.3685395e+09,-1.4677988e+10,-3.0885089e+10,7.3389941e+08,1.5442544e+09,1.299846e+10,1.299846e+10,4.8985767e+11,3.0616104e+10,1801316.1
4000,20,0,68739699,2.2011666e+16,3.0312752e+16,1.0091942e+21,0,7.83181e+18,6.1494523e+17,4.32e+12,4.5571207e+16,1.329754e+18,3.7139645e+18,1.0605612e+21,0,1212251.8,880238.97,2092490.8,0,1.35e+21,88.0327,-7.165923e-09,88.0327,0,0,1.7506546e+08,1.5929878e+13,1.2534587e+10,-7.8304269e+10,-6.149133e+09,-1.3298196e+10,-3.7136944e+10,6.6490979e+08,1.8568472e+09,1.9148417e+10,1.9148417e+10,3.9555204e+11,2.4722002e+10,3137961.7
6000,30,0,90967636,3.3205122e+16,5.0139511e+16,1.1423261e+21,0,1.0203859e+19,6.6773548e+17,4.32e+12,4.1610115e+16,1.2047992e+18,4.1871307e+18,9.2463088e+20,0,2305236.7,1526560.4,3831797.1,0,1.35e+21,152.67131,2.5289921e-08,152.67131,0,0,1.6378786e+08,1.1030356e+13,1.0975163e+10,-1.0202848e+11,-6.6771399e+09,-1.2048586e+10,-4.1869239e+10,6.0242931e+08,2.093462e+09,2.3602149e+10,2.3602149e+10,3.3069524e+11,2.0668453e+10,4773671
8000,40,0,1.1276134e+08,4.46249e+16,7.2053766e+16,1.235126e+21,0,1.1944834e+19,7.029057e+17,4.32e+12,3.8888579e+16,1.0916307e+18,4.5527675e+18,8.2977334e+20,0,3743925,2318551.6,6062476.6,0,1.35e+21,231.87835,-2.9659475e-09,231.87835,0,0,1.5323758e+08,7.7454112e+12,9.8465169e+09,-1.1944089e+11,-7.0289161e+09,-1.0916845e+10,-4.5526063e+10,5.4584225e+08,2.2763031e+09,2.6861943e+10,2.6861943e+10,2.8488269e+11,1.7805168e+10,6687114.5
10000,50,0,1.3394185e+08,5.6325172e+16,9.5594687e+16,1.3006999e+21,0,1.3230489e+19,7.2540566e+17,4.32e+12,3.6952118e+16,9.8913369e+17,4.8399612e+18,7.626747e+20,0,5539076.2,3263412.9,8802489.1,0,1.35e+21,326.37393,5.4005909e-08,326.37393,0,0,1.4336773e+08,5.5109985e+12,8.9910587e+09,-1.3229938e+11,-7.2539697e+09,-9.8918244e+09,-4.8398337e+10,4.9459122e+08,2.4199168e+09,2.9261636e+10,2.9261636e+10,2.5162581e+11,1.5726613e+10,8857563.6
12000,60,0,1.5440831e+08,6.834536e+16,1.2042071e+17,1.3476354e+21,0,1.4180542e+19,7.3854361e+17,4.32e+12,3.5517792e+16,8.9629917e+17,5.0681741e+18,7.1460666e+20,0,7698047.4,4368697.9,12066745,0,1.35e+21,436.91349,1.3522879e-08,436.91349,0,0,1.3413441e+08,3.9703822e+12,8.3137418e+09,-1.4180136e+11,-7.3853897e+09,-8.9634333e+09,-5.0680723e+10,4.4817167e+08,2.5340361e+09,3.1027942e+10,3.1027942e+10,2.2680902e+11,1.4175564e+10,11265103
14000,70,0,1.7410417e+08,8.071309e+16,1.4627087e+17,1.3816414e+21,0,1.4878312e+19,7.4460168e+17,4.32e+12,3.4407434e+16,8.1221366e+17,5.2507246e+18,6.7976253e+20,0,10225656,5642079,15867735,0,1.35e+21,564.26432,-4.5532033e-08,564.26432,0,0,1.2549658e+08,2.8944686e+12,7.7563041e+09,-1.4878015e+11,-7.4460013e+09,-8.1225366e+09,-5.2506431e+10,4.0612683e+08,2.6253215e+09,3.2318198e+10,3.2318198e+10,2.0777867e+11,1.2986167e+10,13890597
16000,80,0,1.9299898e+08,9.3446556e+16,1.7293987e+17,1.4065661e+21,0,1.5383036e+19,7.4520542e+17,4.32e+12,3.3507758e+16,7.3605021e+17,5.3969486e+18,6.5422515e+20,0,13124703,7091173.6,20215876,0,1.35e+21,709.18828,1.0681674e-08,709.18828,0,0,1.1741582e+08,2.1339878e+12,7.2824361e+09,-1.5382824e+11,-7.4520627e+09,-7.3608644e+09,-5.3968833e+10,3.6804322e+08,2.6984417e+09,3.3243974e+10,3.3243974e+10,1.9279619e+11,1.2049762e+10,16715626
18000,90,0,2.1107853e+08,1.0655641e+17,2.0026195e+17,1.4250371e+21,0,1.5737727e+19,7.4154962e+17,4.32e+12,3.2746182e+16,6.6706019e+17,5.5135603e+18,6.3531695e+20,0,16396309,8723417.6,25119727,0,1.35e+21,872.429,-1.7529487e-08,872.429,0,0,1.0985622e+08,1.5903334e+12,6.8691096e+09,-1.5737581e+11,-7.4155235e+09,-6.6709301e+09,-5.5135085e+10,3.335465e+08,2.7567543e+09,3.3886098e+10,3.3886098e+10,1.8070453e+11,1.1294033e+10,19722458
20000,100,0,2.2833948e+08,1.2004729e+17,2.2810003e+17,1.4388709e+21,0,1.5974255e+19,7.3453872e+17,4.32e+12,3.207595e+16,6.0456588e+17,5.6055219e+18,6.2118459e+20,0,20040154,10545972,30586126,0,1.35e+21,1054.7027,-3.6855909e-08,1054.7027,0,0,1.0278416e+08,1.1975115e+12,6.5014376e+09,-1.5974162e+11,-7.3454294e+09,-6.0459561e+09,-5.6054814e+10,3.0229781e+08,2.8027407e+09,3.4304372e+10,3.4304372e+10,1.707216e+11,1.06701e+10,22894059
22000,110,0,2.447863e+08,1.3391901e+17,2.5633854e+17,1.4493378e+21,0,1.6116709e+19,7.2487576e+17,4.32e+12,3.1466865e+16,5.4795373e+17,5.6766048e+18,6.1052988e+20,0,24054652,12565657,36620310,0,1.35e+21,1256.6914,3.3693595e-08,1256.6914,0,0,96168198,9.108037e+11,6.1695851e+09,-1.6116658e+11,-7.2488116e+09,-5.4798066e+09,-5.676574e+10,2.7399033e+08,2.838287e+09,3.4543943e+10,3.4543943e+10,1.6231051e+11,1.0144407e+10,26214146
24000,120,0,2.6042949e+08,1.4816755e+17,2.8487847e+17,1.4573362e+21,0,1.6183629e+19,7.1311978e+17,4.32e+12,3.089944e+16,4.9666826e+17,5.7297578e+18,6.0243318e+20,0,28437105,14788908,43226013,0,1.35e+21,1479.0388,1.8282435e-08,1479.0388,0,0,89978920,6.9954968e+11,5.8668915e+09,-1.6183611e+11,-7.131261e+09,-4.9669266e+09,-5.7297353e+10,2.4834633e+08,2.8648676e+09,3.463956e+10,3.463956e+10,1.5509685e+11,9.6935532e+09,29667238
26000,130,0,2.7528439e+08,1.6278592e+17,3.1363387e+17,1.4635079e+21,0,1.6189533e+19,6.9972372e+17,4.32e+12,3.0361158e+16,4.5020658e+17,5.7673502e+18,5.9623592e+20,0,33183830,17221746,50405576,0,1.35e+21,1722.3468,1.3154613e-07,1722.3468,0,0,84188806,5.4249134e+11,5.5887143e+09,-1.6189543e+11,-6.9973076e+09,-4.5022869e+09,-5.7673349e+10,2.2511434e+08,2.8836675e+09,3.4618452e+10,3.4618452e+10,1.4881541e+11,9.3009629e+09,33238732
28000,140,0,2.893704e+08,1.7776477e+17,3.4252947e+17,1.4683159e+21,0,1.614597e+19,6.8505996e+17,4.32e+12,2.9844072e+16,4.0811339e+17,5.7913348e+18,5.914617e+20,0,38290278,19869762,58160040,0,1.35e+21,1987.1749,0,1987.1749,0,1.953125e-07,78772115,4.2473222e+11,5.3317117e+09,-1.6146002e+11,-6.8506756e+09,-4.0813342e+09,-5.7913259e+10,2.0406671e+08,2.895663e+09,3.4502305e+10,3.4502305e+10,1.432752e+11,8.9547e+09,36914959
30000,150,0,3.0271031e+08,1.9309297e+17,3.7149886e+17,1.4720975e+21,0,1.606225e+19,6.6943806e+17,4.32e+12,2.9343225e+16,3.6997646e+17,5.8033584e+18,5.8776249e+20,0,43751145,22738116,66489261,0,1.35e+21,2274.039,-2.209481e-08,2274.039,0,0,73704762,3.3572785e+11,5.0933911e+09,-1.60623e+11,-6.6944606e+09,-3.6999461e+09,-5.8033551e+10,1.849973e+08,2.9016775e+09,3.4308651e+10,3.4308651e+10,1.3833643e+11,8.6460271e+09,40683232
32000,160,0,3.1532972e+08,2.087581e+17,4.0048321e+17,1.4751006e+21,0,1.5945973e+19,6.5311728e+17,4.32e+12,2.8855625e+16,3.3542258e+17,5.8048368e+18,5.8488168e+20,0,49560474,25831539,75392013,0,1.35e+21,2583.4122,0,2583.4122,0,9.765625e-08,68964219,2.6794246e+11,4.8718239e+09,-1.5946038e+11,-6.5312558e+09,-3.3543902e+09,-5.8048384e+10,1.6771951e+08,2.9024192e+09,3.4051842e+10,3.4051842e+10,1.3389502e+11,8.3684385e+09,44531889
34000,170,0,3.2725658e+08,2.247468e+17,4.2943025e+17,1.4775085e+21,0,1.5803407e+19,6.3631583e+17,4.32e+12,2.8379562e+16,3.0411382e+17,5.7970075e+18,5.8262843e+20,0,55711753,29154346,84866099,0,1.35e+21,2915.7261,0,2915.7261,0,9.765625e-08,64529407,2.159412e+11,4.6654628e+09,-1.5803484e+11,-6.3632432e+09,-3.0412871e+09,-5.7970136e+10,1.5206436e+08,2.8985068e+09,3.3743759e+10,3.3743759e+10,1.2987209e+11,8.1170055e+09,48450310
36000,180,0,3.3852069e+08,2.4104514e+17,4.5829348e+17,1.4794585e+21,0,1.5639766e+19,6.1921777e+17,4.32e+12,2.7914153e+16,2.7574421e+17,5.7809664e+18,5.8085956e+20,0,62198002,32710451,94908453,0,1.35e+21,3271.3722,-4.269441e-08,3271.3722,0,0,60380610,1.7577035e+11,4.4730245e+09,-1.5639852e+11,-6.1922636e+09,-2.7575771e+09,-5.7809763e+10,1.3787885e+08,2.8904881e+09,3.3394331e+10,3.3394331e+10,1.2620686e+11,7.8879284e+09,52428929
38000,190,0,3.491533e+08,2.5763885e+17,4.870316e+17,1.4810534e+21,0,1.5459417e+19,6.019784e+17,4.32e+12,2.7459038e+16,2.5003672e+17,5.7576935e+18,5.7946687e+20,0,69011863,36503390,1.0551525e+08,0,1.35e+21,3650.7041,0,3650.7041,0,9.765625e-08,56499381,1.4452997e+11,4.2934132e+09,-1.5459511e+11,-6.0198703e+09,-2.5004895e+09,-5.7577068e+10,1.2502448e+08,2.8788534e+09,3.3011914e+10,3.3011914e+10,1.2285161e+11,7.6782259e+09,56459224
40000,200,0,3.5918669e+08,2.7451357e+17,5.1560792e+17,1.4823715e+21,0,1.5266041e+19,5.847285e+17,4.32e+12,2.7014178e+16,2.267405e+17,5.7280722e+18,5.783679e+20,0,76145674,40536345,1.1668202e+08,0,1.35e+21,4054.0399,2.9918283e-08,4054.0399,0,0,52868464,1.2007638e+11,4.1256709e+09,-1.526614e+11,-5.8473711e+09,-2.2675158e+09,-5.7280885e+10,1.1337579e+08,2.8640442e+09,3.260359e+10,3.260359e+10,1.1976828e+11,7.4855174e+09,60533704
