iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.98e+09,76.9,64.7,2.05e+21,0,2.03e+10,1.85e+16,3.03e+18,2.02e+12,73.6,2.2,2.5e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6471617e-310,4.6471617e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,10494581,1.4902756e+16,1.9628164e+14,1.8875389e+21,0,3.8987442e+17,3.1009936e+16,4.32e+12,8.0447415e+15,2.7436077e+18,9.7743839e+16,1.8722616e+20,0,6669.4068,506717.16,513386.57,0,1.35e+21,50.676784,-1.3435944e-08,50.676784,0,0,1.8712053e+08,-1.3282437e+13,2.3089832e+09,-3.895675e+09,-3.0999941e+08,-2.743744e+10,-9.76683e+08,1.371872e+09,48834150,3.4143063e+09,3.4143063e+09,7.2861111e+10,4.5538195e+09,407433.77
4000,20,0,17292491,2.8893029e+16,1.1305724e+15,1.7769916e+21,0,1.1483482e+18,5.5580563e+16,4.32e+12,1.2250001e+16,2.4842163e+18,2.8467854e+17,2.9704552e+20,0,45198.523,1155441.9,1200640.4,0,1.35e+21,115.55575,1.9577669e-08,115.55575,0,0,1.7506546e+08,-9.1200413e+12,3.368767e+09,-1.1479121e+10,-5.5566497e+08,-2.4843396e+10,-2.8457028e+09,1.2421698e+09,1.4228514e+08,4.676378e+09,4.676378e+09,1.1076221e+11,6.922638e+09,789400.82
6000,30,0,26201539,4.2153471e+16,3.1391092e+15,1.7004981e+21,0,2.0864684e+18,8.569736e+16,4.32e+12,1.5191751e+16,2.2493973e+18,5.2079329e+17,3.7255303e+20,0,144295.13,1937980.5,2082275.6,0,1.35e+21,193.81743,0,193.81743,0,9.765625e-08,1.6378786e+08,-6.3651483e+12,4.0065233e+09,-2.0859757e+10,-8.5681611e+08,-2.2495089e+10,-5.2066742e+09,1.1247545e+09,2.6033371e+08,6.323485e+09,6.323485e+09,1.3322469e+11,8.326543e+09,1374967.3
8000,40,0,36896862,5.4850955e+16,6.4040058e+15,1.6467137e+21,0,3.0901359e+18,1.176401e+17,4.32e+12,1.7297745e+16,2.0368197e+18,7.8181893e+17,4.2523687e+20,0,332703.75,2849906.2,3182609.9,0,1.35e+21,285.01912,-4.4629587e-08,285.01912,0,0,1.5323758e+08,-4.5123582e+12,4.3794032e+09,-3.0896305e+10,-1.1762409e+09,-2.0369208e+10,-7.8168504e+09,1.0184604e+09,3.9084252e+08,8.1300084e+09,8.1300084e+09,1.4598031e+11,9.1237697e+09,2188103.9
10000,50,0,49046560,6.7131004e+16,1.1009557e+16,1.6083128e+21,0,4.0910986e+18,1.4921265e+17,4.32e+12,1.883573e+16,1.844374e+18,1.0522606e+18,4.625103e+20,0,637858.26,3889548.2,4527406.5,0,1.35e+21,388.99372,6.2312836e-08,388.99372,0,0,1.4336773e+08,-3.2470788e+12,4.5827808e+09,-4.0906063e+10,-1.4919719e+09,-1.8444655e+10,-1.0521249e+10,9.2223275e+08,5.2606244e+08,9.9594268e+09,9.9594268e+09,1.5258312e+11,9.5364447e+09,3243445.1
12000,60,0,62338643,7.9119697e+16,1.6977351e+16,1.5804902e+21,0,5.0494872e+18,1.791453e+17,4.32e+12,1.9976803e+16,1.6701507e+18,1.322184e+18,4.8923118e+20,0,1085200.7,5057474.7,6142675.4,0,1.35e+21,505.79805,-3.7944119e-08,505.79805,0,0,1.3413441e+08,-2.370293e+12,4.6758249e+09,-5.0490229e+10,-1.7913087e+09,-1.6702335e+10,-1.3220504e+10,8.3511676e+08,6.6102518e+08,1.1730531e+10,1.1730531e+10,1.5526909e+11,9.7043178e+09,4548014.6
14000,70,0,76492466,9.0925487e+16,2.4288698e+16,1.5600467e+21,0,5.9431349e+18,2.0673889e+17,4.32e+12,2.0832677e+16,1.5124217e+18,1.5852375e+18,5.0862944e+20,0,1697873.6,6356038.6,8053912.2,0,1.35e+21,635.66743,0,635.66743,0,9.765625e-08,1.2549658e+08,-1.7541478e+12,4.6960603e+09,-5.9427064e+10,-2.0672574e+09,-1.5124967e+10,-1.5851085e+10,7.5624835e+08,7.9255423e+08,1.339676e+10,1.339676e+10,1.554636e+11,9.7164747e+09,6102817.8
16000,80,0,91262210,1.0264098e+17,3.2899176e+16,1.5448219e+21,0,6.760952e+18,2.3164898e+17,4.32e+12,2.1477951e+16,1.3696231e+18,1.8374143e+18,5.2288232e+20,0,2496619.1,7788985.4,10285605,0,1.35e+21,778.97644,-3.3457468e-08,778.97644,0,0,1.1741582e+08,-1.3152987e+12,4.6678102e+09,-6.7605629e+10,-2.3163722e+09,-1.369691e+10,-1.8372914e+10,6.8484548e+08,9.1864571e+08,1.4933373e+10,1.4933373e+10,1.5408588e+11,9.6303676e+09,7904212.6
18000,90,0,1.064364e+08,1.1434463e+17,4.2748232e+16,1.5333372e+21,0,7.4987671e+18,2.5375258e+17,4.32e+12,2.1963639e+16,1.2403392e+18,2.0762641e+18,5.3347665e+20,0,3499795.7,9361117.2,12860913,0,1.35e+21,936.20535,-3.8995722e-09,936.20535,0,0,1.0985622e+08,-9.9865372e+11,4.6071805e+09,-7.4984183e+10,-2.5374223e+09,-1.2404007e+10,-2.0761483e+10,6.2020033e+08,1.0380741e+09,1.6329394e+10,1.6329394e+10,1.5173464e+11,9.483415e+09,9945054.3
20000,100,0,1.218356e+08,1.2610233e+17,5.3765589e+16,1.5245672e+21,0,8.1566883e+18,2.7306461e+17,4.32e+12,2.2325505e+16,1.1232889e+18,2.3003829e+18,5.4144032e+20,0,4723458.2,11078010,15801469,0,1.35e+21,1107.9118,2.1466349e-09,1107.9118,0,0,1.0278416e+08,-7.6731078e+11,4.5250549e+09,-8.156379e+10,-2.7305563e+09,-1.1233445e+10,-2.3002747e+10,5.6167227e+08,1.1501373e+09,1.7582477e+10,1.7582477e+10,1.4880289e+11,9.3001805e+09,12215634
22000,110,0,1.3730931e+08,1.3796889e+17,6.5875582e+16,1.517792e+21,0,8.7374148e+18,2.8968458e+17,4.32e+12,2.258928e+16,1.0173125e+18,2.5090776e+18,5.4749222e+20,0,6181474.2,12945779,19127253,0,1.35e+21,1294.7073,2.5251438e-08,1294.7073,0,0,96168198,-5.9623706e+11,4.4289288e+09,-8.7371431e+10,-2.8967692e+09,-1.0173629e+10,-2.5089772e+10,5.0868146e+08,1.2544886e+09,1.8695617e+10,1.8695617e+10,1.4555002e+11,9.0968763e+09,14704443
24000,120,0,1.5273272e+08,1.4998943e+17,7.9000122e+16,1.5125001e+21,0,9.245151e+18,3.037623e+17,4.32e+12,2.2773965e+16,9.213606e+17,2.7021415e+18,5.5214071e+20,0,7885658.5,14970878,22856537,0,1.35e+21,1497.2375,0,1497.2375,0,9.765625e-08,89978920,-4.6824504e+11,4.324051e+09,-9.2449146e+10,-3.0375586e+09,-9.2140623e+09,-2.7020489e+10,4.6070312e+08,1.3510244e+09,1.9675022e+10,1.9675022e+10,1.4214766e+11,8.8842288e+09,17398790
26000,130,0,1.6800362e+08,1.6220057e+17,9.3060737e+16,1.5083242e+21,0,9.6849061e+18,3.1547545e+17,4.32e+12,2.2893965e+16,8.3448314e+17,2.8797022e+18,5.5574898e+20,0,9845916.7,17159947,27005864,0,1.35e+21,1716.1664,0,1716.1664,0,9.765625e-08,84188806,-3.713966e+11,4.2141496e+09,-9.6847023e+10,-3.1547015e+09,-8.3452446e+09,-2.8796172e+10,4.1726223e+08,1.4398086e+09,2.0528728e+10,2.0528728e+10,1.3870918e+11,8.669324e+09,20285303
28000,140,0,1.8303939e+08,1.7463159e+17,1.0797997e+17,1.504997e+21,0,1.0062043e+19,3.250149e+17,4.32e+12,2.2960472e+16,7.5582033e+17,3.0421162e+18,5.5857911e+20,0,12070390,19519679,31590070,0,1.35e+21,1952.1632,-3.4614686e-08,1952.1632,0,0,78772115,-2.9730734e+11,4.101902e+09,-1.0061869e+11,-3.2501064e+09,-7.5585774e+09,-3.0420387e+10,3.7792887e+08,1.5210194e+09,2.1265697e+10,2.1265697e+10,1.3530896e+11,8.4568103e+09,23350320
30000,150,0,1.9777445e+08,1.8730541e+17,1.2368236e+17,1.5023225e+21,0,1.038199e+19,3.3257504e+17,4.32e+12,2.2982387e+16,6.8459392e+17,3.1898961e+18,5.6082192e+20,0,14565602,22056719,36622321,0,1.35e+21,2205.8925,4.1168732e-08,2205.8925,0,0,73704762,-2.4002578e+11,3.9892444e+09,-1.0381843e+11,-3.3257172e+09,-6.846278e+09,-3.1898258e+10,3.423139e+08,1.5949129e+09,2.1895236e+10,2.1895236e+10,1.3199507e+11,8.2496919e+09,26580210
32000,160,0,2.1215785e+08,2.0023948e+17,1.400951e+17,1.5001551e+21,0,1.065006e+19,3.3834749e+17,4.32e+12,2.2966939e+16,6.2009952e+17,3.323658e+18,5.6261761e+20,0,17336596,24777584,42114180,0,1.35e+21,2478.0062,0,2478.0062,0,9.765625e-08,68964219,-1.9528395e+11,3.877581e+09,-1.0649938e+11,-3.3834502e+09,-6.2013019e+09,-3.3235945e+10,3.100651e+08,1.6617972e+09,2.242662e+10,2.242662e+10,1.2879771e+11,8.049857e+09,29961622
34000,170,0,2.2615122e+08,2.1344661e+17,1.5714843e+17,1.4983856e+21,0,1.087134e+19,3.4251701e+17,4.32e+12,2.2920103e+16,5.6169952e+17,3.4440842e+18,5.6407005e+20,0,20387074,27688604,48075677,0,1.35e+21,2769.1373,0,2769.1373,0,9.765625e-08,64529407,-1.5999086e+11,3.7679279e+09,-1.087124e+11,-3.425153e+09,-5.6172729e+09,-3.4440272e+10,2.8086365e+08,1.7220136e+09,2.2868851e+10,2.2868851e+10,1.2573493e+11,7.8584332e+09,33481671
36000,180,0,2.3972694e+08,2.269356e+17,1.74776e+17,1.4969315e+21,0,1.1050626e+19,3.45259e+17,4.32e+12,2.2846899e+16,5.0881681e+17,3.5518964e+18,5.6525677e+20,0,23719524,30795876,54515400,0,1.35e+21,3079.8956,-3.784271e-08,3079.8956,0,0,60380610,-1.318865e+11,3.6610133e+09,-1.1050546e+11,-3.4525796e+09,-5.0884196e+09,-3.5518456e+10,2.5442098e+08,1.7759228e+09,2.323052e+10,2.323052e+10,1.2281646e+11,7.6760288e+09,37128090
38000,190,0,2.528665e+08,2.4071194e+17,1.9291496e+17,1.4957297e+21,0,1.1192393e+19,3.46738e+17,4.32e+12,2.275159e+16,4.60929e+17,3.6478354e+18,5.662361e+20,0,27335349,34105234,61440583,0,1.35e+21,3410.8645,2.2152108e-08,3410.8645,0,0,56499381,-1.0930318e+11,3.5573498e+09,-1.1192331e+11,-3.4673755e+09,-4.6095177e+09,-3.6477903e+10,2.3047589e+08,1.8238951e+09,2.3519721e+10,2.3519721e+10,1.2004636e+11,7.5028977e+09,40889336
40000,200,0,2.6555914e+08,2.5477829e+17,2.1150607e+17,1.4947314e+21,0,1.130078e+19,3.4710694e+17,4.32e+12,2.2637837e+16,4.1756324e+17,3.7326466e+18,5.6705223e+20,0,31234976,37622230,68857206,0,1.35e+21,3762.5992,-3.5187441e-08,3762.5992,0,0,52868464,-9.0999233e+10,3.4572866e+09,-1.1300734e+11,-3.47107e+09,-4.1758387e+09,-3.7326068e+10,2.0879193e+08,1.8663034e+09,2.374401e+10,2.374401e+10,1.1742486e+11,7.3390535e+09,44754660
42000,210,0,2.7780058e+08,2.69135e+17,2.3049368e+17,1.4938987e+21,0,1.1379592e+19,3.4650689e+17,4.32e+12,2.2508809e+16,3.7829152e+17,3.8070693e+18,5.6773887e+20,0,35417971,41352119,76770091,0,1.35e+21,4135.6255,0,4135.6255,0,9.765625e-08,49471716,-7.6042136e+10,3.3610489e+09,-1.137956e+11,-3.4650741e+09,-3.783102e+09,-3.8070345e+10,1.891551e+08,1.9035173e+09,2.3910392e+10,2.3910392e+10,1.1494957e+11,7.1843483e+09,48714161
