iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.62e+11,1.54,4.61,1.61e+21,0,1.2e+11,2.75e+12,7.5e+15,4.93e+14,66.3,13.8,4.68e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6698623e-310,4.6698623e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,13368379,1.0519073e+15,8.1318567e+14,1.5777563e+21,0,1.5723389e+18,4.9509617e+16,4.32e+12,1.9303673e+16,8.6067045e+15,3.3790379e+17,4.9826406e+20,0,27636.931,35761.674,63398.605,0,1.35e+21,3.576525,4.0572386e-08,3.576525,0,0,1.8712053e+08,-2.6583581e+12,5.5420094e+09,-1.5715783e+10,-4.9484381e+08,-86062083,-3.3772765e+09,4303104.2,1.6886382e+08,3.0848238e+09,3.0848238e+09,1.9396865e+11,1.212304e+10,519003.97
4000,20,0,23973727,2.6247173e+15,3.3849271e+15,1.5554427e+21,0,3.0337779e+18,9.8299932e+16,4.32e+12,2.0648257e+16,9.4912068e+15,6.8676576e+17,5.1871409e+20,0,135340.91,104950.96,240291.87,0,1.35e+21,10.496146,3.8890608e-08,10.496146,0,0,1.7506546e+08,-1.8597774e+12,5.678947e+09,-3.0330783e+10,-9.8276451e+08,-94908160,-6.8659361e+09,4745408,3.4329681e+08,5.9845834e+09,5.9845834e+09,1.9344416e+11,1.209026e+10,1094398.7
6000,30,0,36179166,4.7752011e+15,7.68118e+15,1.539683e+21,0,4.3670881e+18,1.4322469e+17,4.32e+12,2.1666227e+16,1.017904e+16,1.0246876e+18,5.3275113e+20,0,353109.08,219514.3,572623.38,0,1.35e+21,21.953625,2.8645957e-09,21.953625,0,0,1.6378786e+08,-1.3274752e+12,5.7143852e+09,-4.3664546e+10,-1.4320328e+09,-1.0178741e+08,-1.0245221e+10,5089370.5,5.1226107e+08,8.6493843e+09,8.6493843e+09,1.9052533e+11,1.1907833e+10,1898559.1
8000,40,0,49645604,7.5468557e+15,1.3636815e+16,1.5283292e+21,0,5.5673791e+18,1.83867e+17,4.32e+12,2.2446431e+16,1.0696353e+16,1.3474148e+18,5.4253285e+20,0,708507.54,392078.25,1100585.8,0,1.35e+21,39.211746,-7.66304e-09,39.211746,0,0,1.5323758e+08,-9.6619529e+11,5.6831429e+09,-5.5668121e+10,-1.8384778e+09,-1.0696133e+08,-1.3472577e+10,5348066.6,6.7362883e+08,1.1066178e+10,1.1066178e+10,1.8625529e+11,1.1640956e+10,2944145.8
10000,50,0,64071546,1.0971684e+16,2.1170023e+16,1.5199906e+21,0,6.6368101e+18,2.2011539e+17,4.32e+12,2.3047037e+16,1.1066314e+16,1.6524678e+18,5.494502e+20,0,1226577.2,635644.19,1862221.4,0,1.35e+21,63.570776,1.2404218e-07,63.570776,0,0,1.4336773e+08,-7.1661144e+11,5.6075346e+09,-6.6363072e+10,-2.2009836e+09,-1.1066163e+08,-1.6523199e+10,5533081.3,8.2615995e+08,1.3236106e+10,1.3236106e+10,1.8126996e+11,1.1329372e+10,4237046.2
12000,60,0,79193710,1.5071735e+16,3.0189458e+16,1.5137523e+21,0,7.5814493e+18,2.5204184e+17,4.32e+12,2.3507474e+16,1.1309429e+16,1.9385146e+18,5.5441346e+20,0,1929791.8,963343,2893134.8,0,1.35e+21,96.343935,-4.5906461e-08,96.343935,0,0,1.3413441e+08,-5.411638e+11,5.5023118e+09,-7.5810068e+10,-2.5202693e+09,-1.1309336e+08,-1.9383764e+10,5654668.2,9.6918822e+08,1.5168359e+10,1.5168359e+10,1.7595962e+11,1.0997477e+10,5777702.7
14000,70,0,94785171,1.986049e+16,4.0598905e+16,1.5090024e+21,0,8.4093962e+18,2.7982735e+17,4.32e+12,2.385547e+16,1.1443825e+16,2.2049789e+18,5.580268e+20,0,2838098.6,1388234.3,4226332.8,0,1.35e+21,138.83731,0,138.83731,0,9.765625e-08,1.2549658e+08,-4.1569753e+11,5.3775141e+09,-8.4090099e+10,-2.7981446e+09,-1.1443782e+08,-2.2048506e+10,5721891,1.1024253e+09,1.6876481e+10,1.6876481e+10,1.7056429e+11,1.0660268e+10,7562269.3
16000,80,0,1.1065244e+08,2.5344113e+16,5.2300365e+16,1.5053255e+21,0,9.1296557e+18,3.0371558e+17,4.32e+12,2.4111268e+16,1.1485502e+16,2.4517893e+18,5.6069653e+20,0,3969007,1923144.7,5892151.7,0,1.35e+21,192.33371,0,192.33371,0,9.765625e-08,1.1741582e+08,-3.24444e+11,5.2401546e+09,-9.1293209e+10,-3.0370456e+09,-1.1485502e+08,-2.4516708e+10,5742750.8,1.2258354e+09,1.8376142e+10,1.8376142e+10,1.6523077e+11,1.0326923e+10,9583598.6
18000,90,0,1.2663214e+08,3.152257e+16,6.5196147e+16,1.5024351e+21,0,9.7514643e+18,3.2398339e+17,4.32e+12,2.4290193e+16,1.1448566e+16,2.679216e+18,5.6269933e+20,0,5337706.6,2580541.5,7918248.1,0,1.35e+21,258.07996,-2.8127204e-08,258.07996,0,0,1.0985622e+08,-2.5696001e+11,5.095241e+09,-9.7511764e+10,-3.2397411e+09,-1.1448602e+08,-2.6791071e+10,5724300.8,1.3395535e+09,1.9683784e+10,1.9683784e+10,1.6004745e+11,1.0002966e+10,11832074
20000,100,0,1.4258771e+08,3.8390636e+16,7.9190277e+16,1.5001309e+21,0,1.0283893e+19,3.4092194e+17,4.32e+12,2.4404246e+16,1.134543e+16,2.8877609e+18,5.6422574e+20,0,6957200.2,3372434.5,10329635,0,1.35e+21,337.27717,0,337.27717,0,9.765625e-08,1.0278416e+08,-2.0623279e+11,4.946411e+09,-1.0283647e+11,-3.4091426e+09,-1.1345496e+08,-2.8876612e+10,5672748.2,1.4438306e+09,2.0815811e+10,2.0815811e+10,1.5506576e+11,9.6916103e+09,14296308
22000,110,0,1.5840628e+08,4.593878e+16,9.4189471e+16,1.4982709e+21,0,1.0735619e+19,3.5482438e+17,4.32e+12,2.4463112e+16,1.1187003e+16,3.0780828e+18,5.6540842e+20,0,8838446.1,4310304.9,13148751,0,1.35e+21,431.0736,0,431.0736,0,9.765625e-08,96168198,-1.6748966e+11,4.7963387e+09,-1.0735412e+11,-3.5481814e+09,-1.1187094e+08,-3.0779921e+10,5593547.1,1.538996e+09,2.1788111e+10,2.1788111e+10,1.503136e+11,9.3946002e+09,16963716
24000,120,0,1.7399569e+08,5.415396e+16,1.1010379e+17,1.4967525e+21,0,1.1114804e+19,3.6597785e+17,4.32e+12,2.4474806e+16,1.0982848e+16,3.2509454e+18,5.6634062e+20,0,10990504,5405055.2,16395560,0,1.35e+21,540.55958,0,540.55958,0,9.765625e-08,89978920,-1.3744003e+11,4.6470027e+09,-1.1114631e+11,-3.6597291e+09,-1.098296e+08,-3.2508632e+10,5491479.9,1.6254316e+09,2.2615781e+10,2.2615781e+10,1.4580384e+11,9.1127397e+09,19820995
26000,130,0,1.8928193e+08,6.302031e+16,1.2684707e+17,1.495501e+21,0,1.1429038e+19,3.7465841e+17,4.32e+12,2.4446096e+16,1.0741336e+16,3.4071795e+18,5.6708851e+20,0,13420683,6666977.1,20087660,0,1.35e+21,666.76439,1.8636115e-08,666.76439,0,0,84188806,-1.1378626e+11,4.4998676e+09,-1.1428896e+11,-3.7465464e+09,-1.0741465e+08,-3.4071054e+10,5370732.3,1.7035527e+09,2.3312991e+10,2.3312991e+10,1.4153973e+11,8.8462333e+09,22854517
28000,140,0,2.0420673e+08,7.2519747e+16,1.4433722e+17,1.494461e+21,0,1.1685319e+19,3.8112782e+17,4.32e+12,2.438279e+16,1.0469775e+16,3.547656e+18,5.6769941e+20,0,16134683,8105734.9,24240418,0,1.35e+21,810.65455,0,810.65455,0,1.953125e-07,78772115,-9.490407e+10,4.3560112e+09,-1.1685204e+11,-3.811251e+09,-1.0469917e+08,-3.5475896e+10,5234958.4,1.7737948e+09,2.3892916e+10,2.3892916e+10,1.3751849e+11,8.5949055e+09,26050636
