iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.7e+13,9,82.8,2.02e+21,0,7.66e+16,2.65e+10,7.95e+12,1.95e+15,21.2,49.9,5.87e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6889367e-310,4.6889367e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,4948262,3.1646686e+14,2.0102242e+14,1.867138e+21,0,5.2609846e+17,1.4310537e+16,4.32e+12,7.8627869e+15,1.8272953e+15,9.7967811e+16,2.1099395e+20,0,6830.7123,10756.666,17587.378,0,1.35e+21,1.0757741,2.5541648e-08,1.0757741,0,0,1.8712053e+08,-1.2501636e+13,2.2567703e+09,-5.2577094e+09,-1.4299968e+08,-18264601,-9.7894102e+08,913230.06,48947051,1.0128551e+09,1.0128551e+09,8.2115453e+10,5.1322158e+09,192107.62
4000,20,0,11500913,1.071969e+15,1.1224479e+15,1.7630548e+21,0,1.312515e+18,3.9766621e+16,4.32e+12,1.1920615e+16,3.356959e+15,2.7986068e+17,3.1407792e+20,0,44874.047,42858.537,87732.585,0,1.35e+21,4.2862824,4.5034226e-08,4.2862823,0,0,1.7506546e+08,-8.5902322e+12,3.2781876e+09,-1.3120705e+10,-3.9752218e+08,-33562614,-2.7975548e+09,1678130.7,1.3987774e+08,2.5670548e+09,2.5670548e+09,1.1711524e+11,7.3197026e+09,525015.77
6000,30,0,20231231,2.331493e+15,3.0877265e+15,1.690975e+21,0,2.2592765e+18,7.0428361e+16,4.32e+12,1.4781077e+16,4.6285571e+15,5.0929736e+17,3.8494514e+20,0,141933.63,107170.28,249103.91,0,1.35e+21,10.7181,2.7226877e-08,10.7181,0,0,1.6378786e+08,-6.0008798e+12,3.8982148e+09,-2.2587829e+10,-7.041239e+08,-46279803,-5.0917502e+09,2313990.2,2.5458751e+08,4.4477449e+09,4.4477449e+09,1.3765716e+11,8.6035724e+09,1061665.9
8000,40,0,30801081,4.148157e+15,6.2739488e+15,1.6402427e+21,0,3.2600193e+18,1.0275803e+17,4.32e+12,1.6846727e+16,5.6740807e+15,7.6316006e+17,4.3438405e+20,0,325947.41,215496.61,541444.02,0,1.35e+21,21.551816,-1.3458454e-08,21.551816,0,0,1.5323758e+08,-4.2589143e+12,4.2652129e+09,-3.2595173e+10,-1.0274184e+09,-56736096,-7.6302975e+09,2836804.8,3.8151487e+08,6.4461087e+09,6.4461087e+09,1.491211e+11,9.3200685e+09,1826604.3
10000,50,0,42869849,6.5642709e+15,1.0764836e+16,1.603976e+21,0,4.2513662e+18,1.3466025e+17,4.32e+12,1.8369805e+16,6.5219854e+15,1.0266177e+18,4.6935618e+20,0,623680.38,380286.99,1003967.4,0,1.35e+21,38.032503,6.8422928e-08,38.032503,0,0,1.4336773e+08,-3.0688708e+12,4.4694168e+09,-4.2508798e+10,-1.3464464e+09,-65216065,-1.0264853e+10,3260803.3,5.1324267e+08,8.4367482e+09,8.4367482e+09,1.5484198e+11,9.6776238e+09,2834979.6
12000,60,0,56119300,9.6122848e+15,1.6583932e+16,1.5776608e+21,0,5.1965324e+18,1.6491869e+17,4.32e+12,1.9511734e+16,7.1975606e+15,1.2901024e+18,4.9442318e+20,0,1060053.5,614373.05,1674426.6,0,1.35e+21,61.443449,3.6566661e-10,61.443449,0,0,1.3413441e+08,-2.2438281e+12,4.5669659e+09,-5.1960752e+10,-1.649041e+09,-71972620,-1.2899718e+10,3598631,6.449859e+08,1.0345975e+10,1.0345975e+10,1.5691715e+11,9.8073217e+09,4094272.5
14000,70,0,70263916,1.3315745e+16,2.3715847e+16,1.5582911e+21,0,6.0752993e+18,1.9286013e+17,4.32e+12,2.0378118e+16,7.7232609e+15,1.5474472e+18,5.126179e+20,0,1657829.3,930740.42,2588569.7,0,1.35e+21,93.08335,0,93.08335,0,9.765625e-08,1.2549658e+08,-1.6637006e+12,4.593591e+09,-6.0748785e+10,-1.9284681e+09,-77230321,-1.5473208e+10,3861516.1,7.7366041e+08,1.2132425e+10,1.2132425e+10,1.5668285e+11,9.7926782e+09,5605883.8
16000,80,0,85053802,1.7690266e+16,3.2120094e+16,1.5438368e+21,0,6.8777985e+18,2.181504e+17,4.32e+12,2.1039665e+16,8.1190043e+15,1.7947193e+18,5.259846e+20,0,2437497,1342336.3,3779833.3,0,1.35e+21,134.24706,-4.8314945e-08,134.24706,0,0,1.1741582e+08,-1.2502034e+12,4.5725541e+09,-6.8774171e+10,-2.1813844e+09,-81188359,-1.7945986e+10,4059417.9,8.972993e+08,1.3775026e+10,1.3775026e+10,1.550002e+11,9.6875124e+09,7366503
18000,90,0,1.0027391e+08,2.2744495e+16,4.1740248e+16,1.5329078e+21,0,7.6006102e+18,2.4066799e+17,4.32e+12,2.1544889e+16,8.4024397e+15,2.0294755e+18,5.3591917e+20,0,3417271.8,1861911.2,5279183,0,1.35e+21,186.20974,-2.1858057e-08,186.20974,0,0,1.0985622e+08,-9.5158656e+11,4.5193388e+09,-7.6002687e+10,-2.4065742e+09,-84023234,-2.0293615e+10,4201161.7,1.0146807e+09,1.526545e+10,1.526545e+10,1.5242944e+11,9.5268402e+09,9369252.3
