iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,5.07e+08,17.9,1.55,4.35e+20,0,1.63e+21,1.21e+15,2.85e+15,7.97e+18,7.33,13.8,1.99e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6402493e-310,4.6402493e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,6.2698218e+09,2.370289e+17,9.152027e+16,4.1163873e+20,0,1.5003614e+21,3.287256e+18,4.32e+12,1.1372143e+18,4.3990143e+15,2.8435117e+19,1.2977334e+20,0,3111191.9,8058987.7,11170180,0,1.35e+21,805.97936,1.4550778e-08,805.97936,0,0,1.8712053e+08,-7.0036622e+11,3.2651324e+11,-1.5004234e+13,-3.2857877e+10,-43983077,-2.8425166e+11,2199153.8,1.4212583e+10,2.5833137e+12,2.5833137e+12,5.0499568e+10,3.156223e+09,2.4341488e+08
4000,20,0,6.8595692e+09,5.0019463e+17,2.8336536e+17,4.1643753e+20,0,1.3815819e+21,5.9188784e+18,4.32e+12,1.0669339e+18,5.6839538e+15,4.6688474e+19,2.2248489e+20,0,11330947,20002166,31333113,0,1.35e+21,2000.4167,3.3990318e-08,2000.4167,0,0,1.7506546e+08,1.4799109e+12,2.9345945e+11,-1.3816387e+13,-5.917707e+10,-56833726,-4.6680138e+11,2841686.3,2.3340069e+10,2.4031974e+12,2.4031974e+12,8.2957872e+10,5.184867e+09,3.1313879e+08
6000,30,0,7.3378777e+09,7.8470801e+17,5.5932101e+17,4.3839417e+20,0,1.2726485e+21,8.002271e+18,4.32e+12,1.0002231e+18,6.7341303e+15,6.1901439e+19,2.9167214e+20,0,25713772,36075269,61789041,0,1.35e+21,3607.8877,-2.7073838e-08,3607.8877,0,0,1.6378786e+08,2.7982168e+12,2.63819e+11,-1.2727007e+13,-8.001352e+10,-67336587,-6.1894532e+11,3366829.4,3.0947266e+10,2.2359996e+12,2.2359996e+12,1.0429975e+11,6.5187342e+09,3.8506677e+08
8000,40,0,7.717469e+09,1.0863135e+18,9.0504273e+17,4.7060558e+20,0,1.1726731e+21,9.6205892e+18,4.32e+12,9.3713445e+17,7.579321e+15,7.4431995e+19,3.4470376e+20,0,47023826,56440281,1.0346411e+08,0,1.35e+21,5644.5926,1.3329554e-08,5644.5926,0,0,1.5323758e+08,3.5721821e+12,2.3728156e+11,-1.172721e+13,-9.6198838e+10,-75789451,-7.4426345e+11,3789472.6,3.7213173e+10,2.0806917e+12,2.0806917e+12,1.1833207e+11,7.3957541e+09,4.5767102e+08
10000,50,0,8.0098073e+09,1.4012383e+18,1.3078699e+18,5.086915e+20,0,1.0808669e+21,1.0846139e+19,4.32e+12,8.776253e+17,8.2459789e+15,8.4604054e+19,3.8636902e+20,0,75779579,81185326,1.569649e+08,0,1.35e+21,8119.3445,9.5077667e-08,8119.3445,0,0,1.4336773e+08,3.9989947e+12,2.1354295e+11,-1.0809108e+13,-1.0845613e+11,-82456861,-8.4599508e+11,4122843.1,4.2299754e+10,1.9363634e+12,1.9363634e+12,1.2746214e+11,7.9663839e+09,5.2968792e+08
12000,60,0,8.2252277e+09,1.7261457e+18,1.7566645e+18,5.4984893e+20,0,9.9652318e+20,1.1741528e+19,4.32e+12,8.2159785e+17,8.7575811e+15,9.2709309e+19,4.1983784e+20,0,1.1229387e+08,1.1033614e+08,2.2263001e+08,0,1.35e+21,11034.717,2.165325e-08,11034.717,0,0,1.3413441e+08,4.2029186e+12,1.9231652e+11,-9.965636e+12,-1.1741154e+11,-87573604,-9.2705728e+11,4378680.2,4.6352864e+10,1.8021968e+12,1.8021968e+12,1.3324376e+11,8.3277351e+09,6.0008453e+08
14000,70,0,8.3730458e+09,2.0580931e+18,2.2416595e+18,5.9227523e+20,0,9.1900508e+20,1.2360787e+19,4.32e+12,7.6892338e+17,9.1349425e+15,9.9009505e+19,4.4724683e+20,0,1.5670887e+08,1.4386616e+08,3.0057503e+08,0,1.35e+21,14388.055,0,14388.055,0,9.765625e-08,1.2549658e+08,4.2633435e+12,1.73338e+11,-9.1904223e+12,-1.2360538e+11,-91347842,-9.9006766e+11,4567392.1,4.9503383e+10,1.6774498e+12,1.6774498e+12,1.3670029e+11,8.5437684e+09,6.6802884e+08
16000,80,0,8.4616539e+09,2.3944937e+18,2.7543188e+18,6.3481063e+20,0,8.4773593e+20,1.2750403e+19,4.32e+12,7.1945664e+17,9.3964972e+15,1.0373885e+20,4.7006298e+20,0,2.0902642e+08,1.8170543e+08,3.9073184e+08,0,1.35e+21,18172.36,-6.9449015e-09,18172.36,0,0,1.1741582e+08,4.2316198e+12,1.5636699e+11,-8.4777009e+12,-1.2750258e+11,-93963926,-1.0373684e+12,4698196.3,5.1868421e+10,1.5614435e+12,1.5614435e+12,1.3851932e+11,8.6574577e+09,7.3286317e+08
18000,90,0,8.4986056e+09,2.7330811e+18,3.2872082e+18,6.7671332e+20,0,7.8219209e+20,1.2950266e+19,4.32e+12,6.7304461e+17,9.5585516e+15,1.0710641e+20,4.8931261e+20,0,2.6913433e+08,2.237483e+08,4.9288263e+08,0,1.35e+21,22377.068,-1.4249963e-08,22377.068,0,0,1.0985622e+08,4.141323e+12,1.4118658e+11,-7.8222352e+12,-1.2950207e+11,-95584930,-1.0710504e+12,4779246.5,5.355252e+10,1.4535542e+12,1.4535542e+12,1.3917191e+11,8.6982443e+09,7.940807e+08
20000,100,0,8.4906929e+09,3.0718779e+18,3.8338782e+18,7.1751596e+20,0,7.2189698e+20,1.2994514e+19,4.32e+12,6.2953199e+17,9.6355113e+15,1.0929843e+20,5.0572784e+20,0,3.3682901e+08,2.6986032e+08,6.0668934e+08,0,1.35e+21,26988.731,-2.8190698e-08,26988.731,0,0,1.0278416e+08,4.014608e+12,1.2760212e+11,-7.2192589e+12,-1.2994526e+11,-96354919,-1.092976e+12,4817746,5.46488e+10,1.3532066e+12,1.3532066e+12,1.389869e+11,8.6866816e+09,8.5130449e+08
22000,110,0,8.4440156e+09,3.4091669e+18,4.3887569e+18,7.5693301e+20,0,6.664161e+20,1.2912288e+19,4.32e+12,5.8876451e+17,9.6400851e+15,1.1048046e+20,5.1984147e+20,0,4.1183493e+08,3.198841e+08,7.3171903e+08,0,1.35e+21,31991.609,-1.8437277e-08,31991.609,0,0,96168198,3.866198e+12,1.1543955e+11,-6.6644271e+12,-1.2912357e+11,-96400990,-1.104801e+12,4820049.5,5.5240048e+10,1.2598689e+12,1.2598689e+12,1.3819803e+11,8.6373771e+09,9.0426896e+08
24000,120,0,8.3640449e+09,3.7434641e+18,4.9470538e+18,7.9479996e+20,0,6.1535282e+20,1.2728389e+19,4.32e+12,5.5059112e+17,9.5834679e+15,1.107994e+20,5.3204933e+20,0,4.9382119e+08,3.7364447e+08,8.6746565e+08,0,1.35e+21,37368.184,0,37368.184,0,9.765625e-08,89978920,3.7059243e+12,1.0454357e+11,-6.153773e+12,-1.2728502e+11,-95835098,-1.1079943e+12,4791754.9,5.5399715e+10,1.1730484e+12,1.1730484e+12,1.3697421e+11,8.5608884e+09,9.5280345e+08
26000,130,0,8.2556807e+09,4.0734955e+18,5.5046725e+18,8.3103329e+20,0,5.6834471e+20,1.2463862e+19,4.32e+12,5.1486527e+17,9.4755048e+15,1.1038532e+20,5.4265176e+20,0,5.8241568e+08,4.3095295e+08,1.0133686e+09,0,1.35e+21,43099.605,1.3879617e-07,43099.605,0,0,84188806,3.5403624e+12,9.4775913e+10,-5.6836725e+12,-1.2464012e+11,-94755702,-1.103857e+12,4737785.1,5.5192848e+10,1.0922886e+12,1.0922886e+12,1.3543941e+11,8.464963e+09,9.9681775e+08
28000,140,0,8.1233045e+09,4.398175e+18,6.0581315e+18,8.6560354e+20,0,5.2506034e+20,1.2136514e+19,4.32e+12,4.8144573e+17,9.3248386e+15,1.0935321e+20,5.5188158e+20,0,6.7721706e+08,4.9161159e+08,1.1688287e+09,0,1.35e+21,49166.076,5.3332769e-08,49166.076,0,0,78772115,3.3739014e+12,8.6013535e+10,-5.250811e+12,-1.213669e+11,-93249233,-1.0935387e+12,4662461.7,5.4676933e+10,1.0171653e+12,1.0171653e+12,1.3368583e+11,8.3553643e+09,1.0362893e+09
30000,150,0,7.9708272e+09,4.7165849e+18,6.6044942e+18,8.9851729e+20,0,4.8519643e+20,1.1761348e+19,4.32e+12,4.5019705e+17,9.1390414e+15,1.0780445e+20,5.599231e+20,0,7.7780481e+08,5.5541627e+08,1.3332211e+09,0,1.35e+21,55547.182,4.5183697e-08,55547.182,0,0,73704762,3.2094484e+12,7.8147079e+10,-4.8521555e+12,-1.1761545e+11,-91391419,-1.0780534e+12,4569570.9,5.3902669e+10,9.4728482e+11,9.4728482e+11,1.3178288e+11,8.2364298e+09,1.071252e+09
32000,160,0,7.8017337e+09,5.0279575e+18,7.1413046e+18,9.2980479e+20,0,4.4847528e+20,1.1350962e+19,4.32e+12,4.2098981e+17,8.9247327e+15,1.0582826e+20,5.6692527e+20,0,8.8374761e+08,6.2215949e+08,1.5059071e+09,0,1.35e+21,62222.172,0,62222.172,0,9.765625e-08,68964219,3.0489e+12,7.1079377e+10,-4.484929e+12,-1.1351174e+11,-89248460,-1.0582934e+12,4462423,5.2914672e+10,8.8228129e+11,8.8228129e+11,1.2978328e+11,8.1114553e+09,1.1017862e+09
34000,170,0,7.6191221e+09,5.3316595e+18,7.6665305e+18,9.5951158e+20,0,4.1464254e+20,1.0915883e+19,4.32e+12,3.9370069e+17,8.6876861e+15,1.0350298e+20,5.7301085e+20,0,9.9461038e+08,6.916328e+08,1.6862432e+09,0,1.35e+21,69170.197,0,69170.197,0,9.765625e-08,64529407,2.8934592e+12,6.472412e+10,-4.1465877e+12,-1.0916105e+11,-86878094,-1.0350421e+12,4343904.7,5.1752107e+10,8.2181455e+11,8.2181455e+11,1.2772741e+11,7.9829633e+09,1.1280104e+09
36000,180,0,7.4257413e+09,5.6271766e+18,8.1785123e+18,9.8769269e+20,0,3.8346509e+20,1.0464863e+19,4.32e+12,3.682125e+17,8.4329231e+15,1.0089718e+20,5.7828288e+20,0,1.10996e+09,7.6362876e+08,1.8735887e+09,0,1.35e+21,76370.513,-3.7485734e-08,76370.513,0,0,60380610,2.7438519e+12,5.9004658e+10,-3.8348005e+12,-1.0465091e+11,-84330542,-1.0089854e+12,4216527.1,5.0449272e+10,7.6556837e+11,7.6556837e+11,1.256463e+11,7.8528939e+09,1.1500735e+09
38000,190,0,7.2240237e+09,5.9141005e+18,8.6759168e+18,1.0144087e+21,0,3.5472922e+20,1.0005134e+19,4.32e+12,3.4441407e+17,8.1647989e+15,9.8070761e+19,5.8282923e+20,0,1.2293697e+09,8.3794264e+08,2.0673124e+09,0,1.35e+21,83802.644,5.326001e-09,83802.644,0,0,56499381,2.6004748e+12,5.3852914e+10,-3.5474301e+12,-1.0005365e+11,-81649356,-9.807222e+11,4082467.8,4.903611e+10,7.1324861e+11,7.1324861e+11,1.2356388e+11,7.7227427e+09,1.1681481e+09
40000,200,0,7.016116e+09,6.1921169e+18,9.1576969e+18,1.0397228e+21,0,3.2823897e+20,9.5426285e+18,4.32e+12,3.2220012e+17,7.8870775e+15,9.5075846e+19,5.8672598e+20,0,1.3524234e+09,9.143738e+08,2.2667972e+09,0,1.35e+21,91446.525,4.5780325e-08,91446.525,0,0,52868464,2.4634983e+12,4.9208422e+10,-3.2825168e+12,-9.5428596e+10,-78872182,-9.5077378e+11,3943609.1,4.7538689e+10,6.6458172e+11,6.6458172e+11,1.2149859e+11,7.5936621e+09,1.1824255e+09
42000,210,0,6.8039071e+09,6.4609942e+18,9.6230545e+18,1.0636994e+21,0,3.0381453e+20,9.0821733e+18,4.32e+12,3.0147108e+17,7.6030002e+15,9.1957658e+19,5.9003982e+20,0,1.478718e+09,9.9272683e+08,2.4714448e+09,0,1.35e+21,99282.611,0,99282.611,0,9.765625e-08,49471716,2.3329377e+12,4.5017469e+10,-3.0382625e+12,-9.0824023e+10,-76031434,-9.1959242e+11,3801571.7,4.5979621e+10,6.1931322e+11,6.1931322e+11,1.1946458e+11,7.4665365e+09,1.1931099e+09
44000,220,0,6.5890532e+09,6.720574e+18,1.0071408e+19,1.0864021e+21,0,2.8129093e+20,8.6276538e+18,4.32e+12,2.8213293e+17,7.3153459e+15,8.8755272e+19,5.9282982e+20,0,1.6078658e+09,1.0728124e+09,2.6806782e+09,0,1.35e+21,107291.97,0,107291.97,0,9.765625e-08,46294034,2.2087037e+12,4.123232e+10,-2.8130174e+12,-8.627879e+10,-73154903,-8.8756889e+11,3657745.1,4.4378444e+10,5.7720635e+11,5.7720635e+11,1.1747263e+11,7.3420395e+09,1.2004151e+09
46000,230,0,6.3730012e+09,6.9707619e+18,1.0502363e+19,1.1078934e+21,0,2.6051674e+20,8.1821576e+18,4.32e+12,2.6409697e+17,7.0264854e+15,8.5502307e+19,5.9514875e+20,0,1.7394964e+09,1.1544481e+09,2.8939444e+09,0,1.35e+21,115456.35,0,115456.35,0,9.765625e-08,43321291,2.0906373e+12,3.7810546e+10,-2.6052671e+12,-8.1823777e+10,-70266297,-8.5503942e+11,3513314.9,4.2751971e+10,5.3804087e+11,5.3804087e+11,1.1553084e+11,7.2206776e+09,1.2045604e+09
48000,240,0,6.1570094e+09,7.2115195e+18,1.0915687e+19,1.1282341e+21,0,2.4135291e+20,7.7480981e+18,4.32e+12,2.4727962e+17,6.7384294e+15,8.2227546e+19,5.9704414e+20,0,1.8732575e+09,1.2374587e+09,3.1107162e+09,0,1.35e+21,123758.24,-1.2805685e-09,123758.24,0,0,40540269,1.9785349e+12,3.4714414e+10,-2.4136211e+12,-7.7483119e+10,-67385729,-8.2229184e+11,3369286.5,4.1114592e+10,5.0161185e+11,5.0161185e+11,1.1364519e+11,7.1028241e+09,1.2057677e+09
50000,250,0,5.9421671e+09,7.4428573e+18,1.1311286e+19,1.1474827e+21,0,2.2367176e+20,7.3273201e+18,4.32e+12,2.3160219e+17,6.4528722e+15,7.8955486e+19,5.9855899e+20,0,2.0088162e+09,1.3216769e+09,3.330493e+09,0,1.35e+21,132180.91,9.7323209e-08,132180.91,0,0,37938603,1.8721657e+12,3.1910353e+10,-2.2368025e+12,-7.3275269e+10,-64530141,-7.8957118e+11,3226507,3.9478559e+10,4.6772861e+11,4.6772861e+11,1.1181993e+11,6.9887456e+09,1.2042589e+09
52000,260,0,5.7294114e+09,7.6648281e+18,1.1689184e+19,1.1656952e+21,0,2.0735598e+20,6.9211919e+18,4.32e+12,2.1699063e+17,6.1712295e+15,7.5706845e+19,5.997324e+20,0,2.1458586e+09,1.4069433e+09,3.5528019e+09,0,1.35e+21,140708.4,0,140708.4,0,9.765625e-08,35504727,1.7712841e+12,2.9368481e+10,-2.0736381e+12,-6.9213911e+10,-61713692,-7.570846e+11,3085684.6,3.785423e+10,4.3621374e+11,4.3621374e+11,1.1005797e+11,6.8786233e+09,1.2002539e+09
54000,270,0,5.5195434e+09,7.8775211e+18,1.2049506e+19,1.1829253e+21,0,1.9229779e+20,6.5306832e+18,4.32e+12,2.0337538e+17,5.8946732e+15,7.2499e+19,6.0060005e+20,0,2.2840908e+09,1.4931068e+09,3.7771976e+09,0,1.35e+21,149325.61,0,149325.61,0,1.953125e-07,33227819,1.6756386e+12,2.7062182e+10,-1.9230502e+12,-6.5308744e+10,-58948101,-7.2500591e+11,2947405,3.6250296e+10,4.0690218e+11,4.0690218e+11,1.0836111e+11,6.7725697e+09,1.1939688e+09
56000,280,0,5.3132424e+09,8.0810566e+18,1.2392461e+19,1.1992241e+21,0,1.7839814e+20,6.1564324e+18,4.32e+12,1.9069108e+17,5.6241614e+15,6.9346394e+19,6.0119454e+20,0,2.4232381e+09,1.5800243e+09,4.0032625e+09,0,1.35e+21,158018.23,0,158018.23,0,9.765625e-08,31097755,1.5849777e+12,2.4967734e+10,-1.7840481e+12,-6.1566154e+10,-56242950,-6.9347954e+11,2812147.5,3.4673977e+10,3.7964033e+11,3.7964033e+11,1.0673028e+11,6.6706423e+09,1.1856142e+09
58000,290,0,5.1110792e+09,8.2755817e+18,1.2718328e+19,1.2146402e+21,0,1.6556597e+20,5.7988042e+18,4.32e+12,1.7887638e+17,5.3604654e+15,6.6260889e+19,6.0154573e+20,0,2.5630452e+09,1.6675612e+09,4.2306065e+09,0,1.35e+21,166772.8,2.8172508e-08,166772.8,0,0,29105066,1.499054e+12,2.3063982e+10,-1.6557213e+12,-5.7989788e+10,-53605955,-6.6262413e+11,2680297.7,3.3131206e+10,3.5428527e+11,3.5428527e+11,1.0516567e+11,6.5728544e+09,1.1753945e+09
60000,300,0,4.9135273e+09,8.4612655e+18,1.3027445e+19,1.2292198e+21,0,1.5371755e+20,5.4579382e+18,4.32e+12,1.6787373e+17,5.1041944e+15,6.3252087e+19,6.01681e+20,0,2.7032754e+09,1.7555909e+09,4.4588663e+09,0,1.35e+21,175576.64,0,175576.64,0,9.765625e-08,27240891,1.417627e+12,2.1332047e+10,-1.5372325e+12,-5.4581045e+10,-51043206,-6.3253571e+11,2552160.3,3.1626786e+10,3.3070404e+11,3.3070404e+11,1.0366695e+11,6.4791842e+09,1.1635065e+09
62000,310,0,4.7209743e+09,8.6382956e+18,1.3320195e+19,1.2430066e+21,0,1.427759e+20,5.1337914e+18,4.32e+12,1.5762919e+17,4.8558162e+15,6.0327619e+19,6.0162543e+20,0,2.8437101e+09,1.8439947e+09,4.6877048e+09,0,1.35e+21,184417.91,0,184417.91,0,9.765625e-08,25496942,1.3404652e+12,1.9755066e+10,-1.4278116e+12,-5.1339493e+10,-48559384,-6.0329059e+11,2427969.2,3.0164529e+10,3.087729e+11,3.087729e+11,1.0223332e+11,6.3895823e+09,1.1501391e+09
64000,320,0,4.5337312e+09,8.806875e+18,1.3597002e+19,1.2560422e+21,0,1.3267018e+20,4.826173e+18,4.32e+12,1.4809219e+17,4.6156764e+15,5.7493392e+19,6.0140204e+20,0,2.9841483e+09,1.9326619e+09,4.9168102e+09,0,1.35e+21,193285.52,-7.1304385e-09,193285.52,0,0,23865466,1.2673466e+12,1.8317967e+10,-1.3267504e+12,-4.8263227e+10,-46157944,-5.7494786e+11,2307897.2,2.8747393e+10,2.8837675e+11,2.8837675e+11,1.0086363e+11,6.303977e+09,1.1354726e+09
66000,330,0,4.3520412e+09,8.9672189e+18,1.3858317e+19,1.2683659e+21,0,1.2333524e+20,4.5347747e+18,4.32e+12,1.3921539e+17,4.3840151e+15,5.4753825e+19,6.0103188e+20,0,3.1244056e+09,2.0214893e+09,5.1458949e+09,0,1.35e+21,202169.15,0,202169.15,0,1.953125e-07,22339209,1.1980599e+12,1.7007266e+10,-1.2333972e+12,-4.5349164e+10,-43841288,-5.475517e+11,2192064.4,2.7377585e+10,2.6940846e+11,2.6940846e+11,9.9556481e+10,6.2222801e+09,1.1196783e+09
68000,340,0,4.1760875e+09,9.1195519e+18,1.4104613e+19,1.2800151e+21,0,1.1471109e+20,4.2591965e+18,4.32e+12,1.3095447e+17,4.1609819e+15,5.2112039e+19,6.0053425e+20,0,3.2643136e+09,2.1103813e+09,5.3746948e+09,0,1.35e+21,211059.23,-4.2520696e-08,211059.23,0,0,20911385,1.1324043e+12,1.5810892e+10,-1.1471524e+12,-4.2593304e+10,-41610912,-5.2113335e+11,2080545.6,2.6056668e+10,2.5176838e+11,2.5176838e+11,9.8310243e+10,6.1443902e+09,1.1029183e+09
70000,350,0,4.0060009e+09,9.2641059e+18,1.433638e+19,1.2910252e+21,0,1.0674256e+20,3.9989674e+18,4.32e+12,1.2326796e+17,3.9466486e+15,4.9570047e+19,5.9992676e+20,0,3.4037191e+09,2.1992489e+09,5.602968e+09,0,1.35e+21,219946.89,-2.9511284e-08,219946.89,0,0,19575645,1.0701893e+12,1.4718025e+10,-1.0674639e+12,-3.9990937e+10,-39467536,-4.9571293e+11,1973376.8,2.4785646e+10,2.353638e+11,2.353638e+11,9.7123144e+10,6.0701965e+09,1.0853455e+09
72000,360,0,3.8418658e+09,9.4011183e+18,1.4554119e+19,1.3014295e+21,0,9.9378829e+19,3.753564e+18,4.32e+12,1.1611705e+17,3.7410213e+15,4.7128905e+19,5.992255e+20,0,3.542483e+09,2.2880105e+09,5.8304935e+09,0,1.35e+21,228823.93,1.1088559e-08,228823.93,0,0,18326051,1.0112351e+12,1.3718963e+10,-9.9382368e+11,-3.753683e+10,-37411219,-4.71301e+11,1870561,2.356505e+10,2.2010844e+11,2.2010844e+11,9.59933e+10,5.9995812e+09,1.0671035e+09
74000,370,0,3.683726e+09,9.5308295e+18,1.4758336e+19,1.3112599e+21,0,9.2573114e+19,3.5224251e+18,4.32e+12,1.0946548e+17,3.5440502e+15,4.4788855e+19,5.9844512e+20,0,3.68048e+09,2.3765906e+09,6.0570706e+09,0,1.35e+21,237682.83,-3.0035153e-08,237682.83,0,0,17157048,9.5537151e+11,1.2804992e+10,-9.2576385e+11,-3.5225372e+10,-35441465,-4.479e+11,1772073.2,2.2395e+10,2.0592204e+11,2.0592204e+11,9.4918752e+10,5.932422e+09,1.0483267e+09
76000,380,0,3.5315903e+09,9.6534819e+18,1.4949539e+19,1.3205464e+21,0,8.628233e+19,3.3049647e+18,4.32e+12,1.0327935e+17,3.3556386e+15,4.254945e+19,5.9759891e+20,0,3.817597e+09,2.4649201e+09,6.2825171e+09,0,1.35e+21,246516.66,2.3137545e-08,246516.66,0,0,16063436,9.0243797e+11,1.1968286e+10,-8.6285353e+11,-3.3050701e+10,-33557307,-4.2550545e+11,1677865.4,2.1275272e+10,1.9272993e+11,1.9272993e+11,9.3897497e+10,5.8685935e+09,1.0291405e+09
78000,390,0,3.3854369e+09,9.7693183e+18,1.5128234e+19,1.3293176e+21,0,8.0466789e+19,3.1005814e+18,4.32e+12,9.7526978e+16,3.1756511e+15,4.040966e+19,5.9669896e+20,0,3.9537329e+09,2.5529358e+09,6.5066686e+09,0,1.35e+21,255319.11,3.3527613e-08,255319.11,0,0,15040356,8.5228296e+11,1.12018e+10,-8.0469584e+11,-3.1006805e+10,-31757390,-4.0410705e+11,1587869.5,2.0205352e+10,1.8046264e+11,1.8046264e+11,9.2927509e+10,5.8079693e+09,1.0096611e+09
80000,400,0,3.2452176e+09,9.8785808e+18,1.5294925e+19,1.3376006e+21,0,7.5089929e+19,2.908668e+18,4.32e+12,9.2178782e+16,3.0039199e+15,3.8367972e+19,5.9575616e+20,0,4.0887975e+09,2.64058e+09,6.7293775e+09,0,1.35e+21,264084.41,-4.3422915e-08,264084.41,0,0,14083256,8.0476346e+11,1.0499194e+10,-7.5092513e+11,-2.908761e+10,-30040038,-3.8368968e+11,1502001.9,1.9184484e+10,1.6905554e+11,1.6905554e+11,9.200676e+10,5.7504225e+09,9.8999664e+08
82000,410,0,3.1108617e+09,9.9815096e+18,1.5450106e+19,1.345421e+21,0,7.0118059e+19,2.7286175e+18,4.32e+12,8.7207131e+16,2.8402514e+15,3.6422472e+19,5.9478034e+20,0,4.2227108e+09,2.7278005e+09,6.9505113e+09,0,1.35e+21,272807.33,4.4878107e-08,272807.33,0,0,13187883,7.5974449e+11,9.8547537e+09,-7.0120449e+11,-2.7287046e+10,-28403313,-3.6423421e+11,1420165.6,1.821171e+10,1.5844851e+11,1.5844851e+11,9.1133235e+10,5.6958272e+09,9.7024641e+08
84000,420,0,2.9822794e+09,1.0078342e+19,1.5594265e+19,1.3528032e+21,0,6.5520131e+19,2.559829e+18,4.32e+12,8.2586232e+16,2.6844311e+15,3.4570921e+19,5.9378034e+20,0,4.3554024e+09,2.8145499e+09,7.1699522e+09,0,1.35e+21,281483.14,4.3364707e-08,281483.14,0,0,12350256,7.170986e+11,9.2633213e+09,-6.5522342e+11,-2.5599107e+10,-26845071,-3.4571824e+11,1342253.5,1.7285912e+10,1.4858561e+11,1.4858561e+11,9.0304943e+10,5.6440589e+09,9.5050191e+08
86000,430,0,2.8593647e+09,1.0169313e+19,1.5727878e+19,1.3597703e+21,0,6.1267526e+19,2.4017125e+18,4.32e+12,7.8292013e+16,2.5362282e+15,3.281082e+19,5.9276405e+20,0,4.4868102e+09,2.9007856e+09,7.3875958e+09,0,1.35e+21,290107.57,4.5169145e-08,290107.57,0,0,11566649,6.7670535e+11,8.7202404e+09,-6.126957e+11,-2.401789e+10,-25363005,-3.2811678e+11,1268150.2,1.6405839e+10,1.3941481e+11,1.3941481e+11,8.9519929e+10,5.5949955e+09,9.3084688e+08
88000,440,0,2.7419981e+09,1.0254651e+19,1.585141e+19,1.3663442e+21,0,5.7333857e+19,2.2536917e+18,4.32e+12,7.4302011e+16,2.3953999e+15,3.1139463e+19,5.9173852e+20,0,4.6168805e+09,2.9864694e+09,7.60335e+09,0,1.35e+21,298676.81,1.5250407e-08,298676.81,0,0,10833579,6.3845091e+11,8.221301e+09,-5.7335749e+11,-2.2537633e+10,-23954685,-3.1140277e+11,1197734.3,1.5570139e+10,1.3088771e+11,1.3088771e+11,8.8776279e+10,5.5485175e+09,9.1135769e+08
90000,450,0,2.6300492e+09,1.0334583e+19,1.5965314e+19,1.3725459e+21,0,5.3694798e+19,2.1152072e+18,4.32e+12,7.0595271e+16,2.2616944e+15,2.955399e+19,5.9070999e+20,0,4.7455668e+09,3.0715673e+09,7.8171341e+09,0,1.35e+21,307187.44,-3.1664968e-08,307187.44,0,0,10147788,6.022276e+11,7.7626933e+09,-5.3696548e+11,-2.1152741e+10,-22617595,-2.9554762e+11,1130879.7,1.4777381e+10,1.2295927e+11,1.2295927e+11,8.807213e+10,5.5045081e+09,8.921037e+08
