iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.79e+13,6.83,26.8,2.07e+21,0,3.88e+16,2.18e+18,1.76e+17,1.42e+18,16.9,18.2,1.63e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6646327e-310,4.6646327e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,15651648,1.4997604e+15,5.9381294e+15,1.900934e+21,0,3.8305973e+17,2.1408922e+18,4.32e+12,8.4019475e+15,1.6107905e+17,1.2392789e+18,1.7057259e+20,0,201918.18,50990.134,252908.31,0,1.35e+21,5.0995234,5.0049904e-08,5.0995233,0,0,1.8712053e+08,-1.3820994e+13,2.4115237e+09,-3.827691e+09,-2.1409872e+10,-1.6108618e+09,-1.2392568e+10,80543090,6.1962841e+08,5.6207116e+09,5.6207116e+09,6.6376833e+10,4.1485521e+09,607647.89
4000,20,0,22736328,3.3999258e+15,1.2322016e+16,1.785917e+21,0,1.1180007e+18,1.9657539e+18,4.32e+12,1.2689143e+16,1.4745355e+17,1.3252581e+18,2.8494673e+20,0,492794.14,135953.76,628747.91,0,1.35e+21,13.596736,4.0682599e-08,13.596736,0,0,1.7506546e+08,-9.4875272e+12,3.4895412e+09,-1.1175725e+10,-1.9658348e+10,-1.4746005e+09,-1.3251975e+10,73730027,6.6259873e+08,6.6408171e+09,6.6408171e+09,1.0624943e+11,6.6405895e+09,1037911.5
6000,30,0,31859860,5.7596655e+15,1.930068e+16,1.7063522e+21,0,2.045742e+18,1.8152711e+18,4.32e+12,1.566909e+16,1.3501222e+17,1.4711272e+18,3.6359024e+20,0,887392.97,264777.89,1152170.9,0,1.35e+21,26.480437,0,26.480437,0,9.765625e-08,1.6378786e+08,-6.6196018e+12,4.1324192e+09,-2.0452522e+10,-1.8153412e+10,-1.3501816e+09,-1.4710441e+10,67509079,7.3552203e+08,8.0887678e+09,8.0887678e+09,1.3001886e+11,8.126179e+09,1671896.7
8000,40,0,42709597,8.6320265e+15,2.710499e+16,1.6504273e+21,0,3.0469659e+18,1.6838111e+18,4.32e+12,1.778657e+16,1.236498e+17,1.6509433e+18,4.1846563e+20,0,1408387.6,448465.87,1856853.4,0,1.35e+21,44.851073,-3.6421625e-08,44.851073,0,0,1.5323758e+08,-4.6909631e+12,4.5031689e+09,-3.0464603e+10,-1.6838728e+10,-1.2365523e+09,-1.650848e+10,61827614,8.2542399e+08,9.7273444e+09,9.7273444e+09,1.4365537e+11,8.9784606e+09,2532818
10000,50,0,54962459,1.2059648e+16,3.586078e+16,1.6105149e+21,0,4.0501355e+18,1.5674902e+18,4.32e+12,1.9319789e+16,1.1327056e+17,1.8479523e+18,4.5729232e+20,0,2077888.9,698687.41,2776576.3,0,1.35e+21,69.875729,8.8420023e-08,69.875729,0,0,1.4336773e+08,-3.3740384e+12,4.7005589e+09,-4.0496413e+10,-1.5675451e+10,-1.1327552e+09,-1.8478515e+10,56637761,9.2392576e+08,1.1412288e+10,1.1412288e+10,1.5086142e+11,9.4288388e+09,3634663
12000,60,0,68313317,1.60756e+16,4.5625668e+16,1.5816119e+21,0,5.0133067e+18,1.4635364e+18,4.32e+12,2.044635e+16,1.0378743e+17,2.0512382e+18,4.8512886e+20,0,2916657.7,1027520.7,3944178.4,0,1.35e+21,102.76234,-4.121712e-08,102.76234,0,0,1.3413441e+08,-2.4616e+12,4.7857331e+09,-5.0128396e+10,-1.4635856e+10,-1.0379196e+09,-2.0511363e+10,51895979,1.0255682e+09,1.3057105e+10,1.3057105e+10,1.5396694e+11,9.6229335e+09,4983906.4
14000,70,0,82487200,2.0704248e+16,5.6412627e+16,1.5603873e+21,0,5.9130034e+18,1.3699057e+18,4.32e+12,2.1282053e+16,9.5121168e+16,2.2536598e+18,5.0533864e+20,0,3943712.3,1447226.8,5390939.1,0,1.35e+21,144.73715,0,144.73715,0,9.765625e-08,1.2549658e+08,-1.8205213e+12,4.7973619e+09,-5.9125718e+10,-1.3699502e+10,-9.512531e+08,-2.2535597e+10,47562655,1.1267798e+09,1.4611538e+10,1.4611538e+10,1.5445763e+11,9.6536022e+09,6581097.2
16000,80,0,97243182,2.5962164e+16,6.820535e+16,1.5445921e+21,0,6.7373169e+18,1.285045e+18,4.32e+12,2.1904084e+16,8.7199704e+16,2.4505579e+18,5.2018895e+20,0,5176159,1970058.3,7146217.3,0,1.35e+21,197.02554,-2.6822732e-08,197.02554,0,0,1.1741582e+08,-1.3640202e+12,4.7604257e+09,-6.7369246e+10,-1.2850855e+10,-8.720349e+08,-2.4504613e+10,43601745,1.2252307e+09,1.6048199e+10,1.6048199e+10,1.532921e+11,9.5807561e+09,8422224.2
18000,90,0,1.1237413e+08,3.1859041e+16,8.0968433e+16,1.5326869e+21,0,7.4815719e+18,1.2077428e+18,4.32e+12,2.2365104e+16,7.9957438e+16,2.6389312e+18,5.3122812e+20,0,6629150,2608101.5,9237251.5,0,1.35e+21,260.83624,-4.6523724e-08,260.83624,0,0,1.0985622e+08,-1.0347339e+12,4.6913968e+09,-7.48122e+10,-1.2077797e+10,-7.9960899e+08,-2.6388395e+10,39980450,1.3194198e+09,1.735416e+10,1.735416e+10,1.5109504e+11,9.44344e+09,10499855
