iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.13e+12,45.3,1.24,1.9e+21,0,2.37e+17,2.01e+15,3.35e+14,9.13e+13,97.5,1.9,1.79e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6781285e-310,4.6781285e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,8125695,5.5028477e+14,3.8119981e+14,1.7825496e+21,0,1.0020299e+18,2.6655415e+16,4.32e+12,1.1354101e+16,2.1232365e+15,1.6975036e+17,2.9547891e+20,0,12954.482,18706.468,31660.95,0,1.35e+21,1.8708339,1.0221581e-07,1.8708338,0,0,1.8712053e+08,-9.6116787e+12,3.2592933e+09,-1.001582e+10,-2.664045e+08,-21224161,-1.6964532e+09,1061208,84822662,1.9111575e+09,1.9111575e+09,1.1501101e+11,7.188188e+09,315465.91
4000,20,0,15936817,1.5675246e+15,1.8001006e+15,1.7024748e+21,0,1.9736637e+18,5.9114154e+16,4.32e+12,1.4607569e+16,3.6247369e+15,4.0298003e+17,3.7431099e+20,0,71970.345,62675.137,134645.48,0,1.35e+21,6.2681406,3.0836683e-08,6.2681405,0,0,1.7506546e+08,-6.6139835e+12,4.0172993e+09,-1.9731505e+10,-5.9097023e+08,-36240528,-4.0285411e+09,1812026.4,2.0142705e+08,3.840975e+09,3.840975e+09,1.3958206e+11,8.7238787e+09,727514.42
6000,30,0,25743868,3.1137006e+15,4.4734137e+15,1.6469332e+21,0,3.0220052e+18,9.4067188e+16,4.32e+12,1.691971e+16,4.8708521e+15,6.6621851e+17,4.2849996e+20,0,205637.84,143130.48,348768.32,0,1.35e+21,14.31448,3.1147676e-08,14.31448,0,0,1.6378786e+08,-4.6284504e+12,4.4623426e+09,-3.0214763e+10,-9.4049579e+08,-48702874,-6.6608263e+09,2435143.7,3.3304131e+08,5.9337992e+09,5.9337992e+09,1.5323611e+11,9.577257e+09,1350950.3
8000,40,0,37209781,5.238567e+15,8.5053953e+15,1.607766e+21,0,4.0703894e+18,1.2890109e+17,4.32e+12,1.8600977e+16,5.8933178e+15,9.4192834e+17,4.66301e+20,0,441888.77,272149.52,714038.29,0,1.35e+21,27.217674,4.4424514e-08,27.217674,0,0,1.5323758e+08,-3.2917777e+12,4.7094138e+09,-4.0698735e+10,-1.2888399e+09,-58928576,-9.4178943e+09,2946428.8,4.7089471e+08,8.0381859e+09,8.0381859e+09,1.6008015e+11,1.000501e+10,2206661.1
10000,50,0,50006649,7.980926e+15,1.3929646e+16,1.5797032e+21,0,5.0745965e+18,1.6210988e+17,4.32e+12,1.9846626e+16,6.7203589e+15,1.2189429e+18,4.9304057e+20,0,807055.35,462365.25,1269420.6,0,1.35e+21,46.241149,9.8427662e-08,46.241149,0,0,1.4336773e+08,-2.3778114e+12,4.8287726e+09,-5.0741101e+10,-1.6209384e+09,-67199899,-1.2188054e+10,3359994.9,6.0940269e+08,1.0065796e+10,1.0065796e+10,1.6265692e+11,1.0166057e+10,3306935.7
12000,60,0,63833472,1.1369746e+16,2.0734636e+16,1.5592871e+21,0,6.0103482e+18,1.9286142e+17,4.32e+12,2.0782253e+16,7.377056e+15,1.4901466e+18,5.1220862e+20,0,1325388.5,726710.48,2052098.9,0,1.35e+21,72.678316,4.7752835e-08,72.678316,0,0,1.3413441e+08,-1.7434703e+12,4.8643754e+09,-6.0098998e+10,-1.9284674e+09,-73767664,-1.4900133e+10,3688383.2,7.4500663e+08,1.196719e+10,1.196719e+10,1.625627e+11,1.0160169e+10,4657072.2
14000,70,0,78422934,1.5425237e+16,2.8880064e+16,1.5442143e+21,0,6.8656722e+18,2.2073842e+17,4.32e+12,2.1490584e+16,7.8856748e+15,1.7510447e+18,5.2612515e+20,0,2018851.5,1078199,3097050.5,0,1.35e+21,107.83068,0,107.83068,0,9.765625e-08,1.2549658e+08,-1.2968262e+12,4.844381e+09,-6.8652656e+10,-2.2072524e+09,-78854541,-1.7509173e+10,3942727,8.7545865e+08,1.3717047e+10,1.3717047e+10,1.6081199e+11,1.005075e+10,6256836.7
16000,80,0,93542598,2.0159901e+16,3.8307521e+16,1.5329288e+21,0,7.6361797e+18,2.4558069e+17,4.32e+12,2.2027494e+16,8.2659622e+15,1.9988656e+18,5.3635365e+20,0,2907069.3,1529743.3,4436812.5,0,1.35e+21,152.98963,1.5841863e-08,152.98963,0,0,1.1741582e+08,-9.7794374e+11,4.7872543e+09,-7.6358157e+10,-2.4556904e+09,-82658011,-1.9987452e+10,4132900.6,9.9937261e+08,1.5305015e+10,1.5305015e+10,1.5805624e+11,9.878515e+09,8101716.9
18000,90,0,1.0899341e+08,2.557954e+16,4.8947559e+16,1.5243645e+21,0,8.3221108e+18,2.6738741e+17,4.32e+12,2.2431738e+16,8.5354126e+15,2.2319874e+18,5.4396152e+20,0,4007364.6,2094006.3,6101370.9,0,1.35e+21,209.42157,-4.7732897e-08,209.42157,0,0,1.0985622e+08,-7.4719739e+11,4.7053792e+09,-8.3217885e+10,-2.6737725e+09,-85353029,-2.2318747e+10,4267651.4,1.1159374e+09,1.6729971e+10,1.6729971e+10,1.547172e+11,9.6698251e+09,10183972
